CLIENT;TRIALN;KEY;MEAN;MAXGENT;MAXV;AMPLITUDO;LATENCYMAX;LATNCY3XLR;LATNCY3XRL;LATNCY3XDIF;DATE
'14/06/2018 14:50:14';0001,000;'ACT:PROB';338435,772;0711,000;10191380,000;9852944,228;-0550,000;9999,000;9999,000;0040,000;1806141452,000
'14/06/2018 14:50:14';0002,000;'ACT:PROB';397807,329;0625,000;12508130,000;12110322,671;-0550,000;0035,000;0034,000;0028,000;1806141452,000
'14/06/2018 14:50:14';0003,000;'ACT:PROB';697418,588;0672,000;8868475,000;8171056,412;-0550,000;9999,000;9999,000;9999,000;1806141452,000
'14/06/2018 14:50:14';0004,000;'ACT:PROB';223378,335;0638,000;16450150,000;16226771,665;-0550,000;0049,000;0048,000;0044,000;1806141452,000
'14/06/2018 14:50:14';0005,000;'ACT:PROB';520324,118;0624,000;11084480,000;10564155,882;-0550,000;0034,000;0033,000;0025,000;1806141452,000
'14/06/2018 14:50:14';0006,000;'ACT:PROB';854277,595;0607,000;12045810,000;11191532,405;-0550,000;0029,000;0028,000;9999,000;1806141452,000
'14/06/2018 14:50:14';0007,000;'ACT:PROB';1569225,012;0602,000;10126150,000;8556924,988;-0550,000;0038,000;0037,000;0026,000;1806141452,000
'14/06/2018 14:50:14';0008,000;'ACT:PROB';837174,905;0605,000;10117090,000;9279915,095;-0550,000;0032,000;0031,000;0022,000;1806141452,000
'14/06/2018 14:50:14';0009,000;'ACT:PROB';1635789,190;0627,000;9334342,000;7698552,810;-0550,000;0049,000;0048,000;0026,000;1806141452,000
'14/06/2018 14:50:14';0010,000;'ACT:PROB';394167,412;0606,000;10853990,000;10459822,588;-0550,000;0035,000;0034,000;0030,000;1806141452,000
'14/06/2018 14:50:14';0011,000;'ACT:PROB';375356,476;0654,000;10667060,000;10291703,524;-0550,000;0071,000;0070,000;9999,000;1806141452,000
'14/06/2018 14:50:14';0012,000;'ACT:PROB';344987,501;0649,000;9610504,000;9265516,499;-0550,000;0075,000;0074,000;9999,000;1806141452,000
'14/06/2018 14:50:14';0013,000;'ACT:PROB';414448,534;0663,000;7138674,000;6724225,466;-0550,000;0072,000;0071,000;9999,000;1806141452,000
'14/06/2018 14:50:14';0014,000;'ACT:PROB';423376,198;0675,000;7480519,000;7057142,802;-0550,000;9999,000;9999,000;0058,000;1806141452,000
'14/06/2018 14:50:14';0015,000;'ACT:PROB';228894,469;0675,000;5833989,000;5605094,531;-0550,000;9999,000;9999,000;0027,000;1806141452,000
'14/06/2018 14:50:14';0016,000;'ACT:PROB';163748,781;0717,000;9952841,000;9789092,219;-0550,000;9999,000;9999,000;0052,000;1806141452,000
'14/06/2018 14:50:14';0017,000;'ACT:PROB';909404,333;0670,000;7785770,000;6876365,667;-0550,000;9999,000;9999,000;9999,000;1806141452,000
'14/06/2018 14:50:14';0018,000;'ACT:PROB';189049,923;0705,000;4645169,000;4456119,077;-0550,000;9999,000;9999,000;0071,000;1806141452,000
'14/06/2018 14:50:14';0019,000;'ACT:PROB';249752,141;0679,000;6469796,000;6220043,859;-0550,000;9999,000;9999,000;0056,000;1806141452,000
'14/06/2018 14:50:14';0020,000;'ACT:PROB';254020,965;0642,000;7665776,000;7411755,035;-0550,000;0057,000;0056,000;0050,000;1806141452,000
'14/06/2018 14:50:14';0021,000;'ACT:PROB';306992,741;0624,000;11224970,000;10917977,259;-0550,000;0034,000;0033,000;0027,000;1806141452,000
'14/06/2018 14:50:14';0022,000;'ACT:PROB';200462,044;0665,000;9382135,000;9181672,956;-0550,000;0075,000;0074,000;9999,000;1806141452,000
'14/06/2018 14:50:14';0023,000;'ACT:PROB';209764,700;0690,000;9434734,000;9224969,300;-0550,000;9999,000;9999,000;9999,000;1806141452,000
'14/06/2018 14:50:14';0024,000;'ACT:PROB';879396,134;0673,000;11120870,000;10241473,866;-0550,000;0045,000;0044,000;0029,000;1806141452,000
'14/06/2018 14:50:14';0025,000;'ACT:PROB';139921,433;0683,000;11120590,000;10980668,567;-0550,000;9999,000;9999,000;0058,000;1806141452,000
'14/06/2018 14:50:14';0026,000;'ACT:PROB';254760,429;0660,000;15716250,000;15461489,571;-0550,000;0072,000;0071,000;0065,000;1806141452,000
'14/06/2018 14:50:14';0027,000;'ACT:PROB';174499,634;0647,000;11716070,000;11541570,366;-0550,000;0061,000;0060,000;9999,000;1806141452,000
'14/06/2018 14:50:14';0028,000;'ACT:PROB';924215,125;0677,000;9475181,000;8550965,875;-0550,000;9999,000;9999,000;9999,000;1806141452,000
'14/06/2018 14:50:14';0029,000;'ACT:PROB';210085,991;0699,000;7200261,000;6990175,009;-0550,000;9999,000;9999,000;0067,000;1806141452,000
'14/06/2018 14:50:14';0030,000;'ACT:PROB';258198,068;0712,000;5280455,000;5022256,932;-0550,000;9999,000;9999,000;9999,000;1806141452,000
'14/06/2018 14:50:14';0031,000;'ACT:PROB';171444,574;0697,000;9225552,000;9054107,426;-0550,000;9999,000;9999,000;0048,000;1806141452,000
'14/06/2018 14:50:14';0032,000;'ACT:PROB';140660,065;0655,000;11608480,000;11467819,935;-0550,000;0063,000;0062,000;9999,000;1806141452,000
'14/06/2018 14:50:14';0033,000;'ACT:PROB';126898,134;0672,000;12777310,000;12650411,866;-0550,000;9999,000;9999,000;0063,000;1806141452,000
'14/06/2018 14:50:14';0034,000;'ACT:PROB';785864,714;0674,000;9218878,000;8433013,286;-0550,000;9999,000;9999,000;9999,000;1806141452,000
'14/06/2018 14:50:14';0035,000;'ACT:PROB';162451,949;0664,000;9208137,000;9045685,051;-0550,000;9999,000;9999,000;9999,000;1806141452,000
