CLIENT;TRIALN;KEY;MEAN;MAXGENT;MAXV;AMPLITUDO;LATENCYMAX;LATNCY3XLR;LATNCY3XRL;LATNCY3XDIF;DATE
'11/01/2018 11:17:27';0001,000;'ACT:PROB';1296654,607;0717,000;11056990,000;9760335,393;-0550,000;9999,000;9999,000;9999,000;1801111118,000
'11/01/2018 11:17:27';0002,000;'ACT:PROB';273358,907;0623,000;7247270,000;6973911,093;-0550,000;0044,000;0043,000;0034,000;1801111118,000
'11/01/2018 11:17:27';0003,000;'ACT:PROB';143803,062;0621,000;7346672,000;7202868,938;-0550,000;0036,000;0035,000;0029,000;1801111118,000
'11/01/2018 11:17:27';0004,000;'ACT:PROB';153646,007;0644,000;5661826,000;5508179,993;-0550,000;0055,000;0054,000;9999,000;1801111118,000
'11/01/2018 11:17:27';0005,000;'ACT:PROB';432873,836;0624,000;8954793,000;8521919,164;-0550,000;0039,000;0038,000;0050,000;1801111118,000
'11/01/2018 11:17:27';0006,000;'ACT:PROB';342221,839;0622,000;7502416,000;7160194,161;-0550,000;0038,000;0037,000;0046,000;1801111118,000
'11/01/2018 11:17:27';0007,000;'ACT:PROB';117441,205;0618,000;1949144,000;1831702,795;-0550,000;0048,000;0047,000;0042,000;1801111118,000
'11/01/2018 11:17:27';0008,000;'ACT:PROB';134724,618;0644,000;3821773,000;3687048,382;-0550,000;0056,000;0055,000;0049,000;1801111118,000
'11/01/2018 11:17:27';0009,000;'ACT:PROB';125789,892;0657,000;7465169,000;7339379,108;-0550,000;0068,000;0067,000;9999,000;1801111118,000
'11/01/2018 11:17:27';0010,000;'ACT:PROB';131293,755;0645,000;3600582,000;3469288,245;-0550,000;0056,000;0055,000;9999,000;1801111118,000
'11/01/2018 11:17:27';0011,000;'ACT:PROB';187501,996;0677,000;8677353,000;8489851,004;-0550,000;9999,000;9999,000;0026,000;1801111118,000
'11/01/2018 11:17:27';0012,000;'ACT:PROB';128251,741;0648,000;8916629,000;8788377,259;-0550,000;0060,000;0059,000;9999,000;1801111118,000
'11/01/2018 11:17:27';0013,000;'ACT:PROB';114643,505;0672,000;3354151,000;3239507,495;-0550,000;9999,000;9999,000;0053,000;1801111118,000
'11/01/2018 11:17:27';0014,000;'ACT:PROB';136383,070;0621,000;4280396,000;4144012,930;-0550,000;0036,000;0035,000;0026,000;1801111118,000
'11/01/2018 11:17:27';0015,000;'ACT:PROB';108802,440;0670,000;4049243,000;3940440,560;-0550,000;9999,000;9999,000;9999,000;1801111118,000
'11/01/2018 11:17:27';0016,000;'ACT:PROB';108680,363;0689,000;1766585,000;1657904,637;-0550,000;9999,000;9999,000;9999,000;1801111118,000
'11/01/2018 11:17:27';0017,000;'ACT:PROB';188461,057;0683,000;3223322,000;3034860,943;-0550,000;9999,000;9999,000;0048,000;1801111118,000
'11/01/2018 11:17:27';0018,000;'ACT:PROB';774852,128;0675,000;4926859,000;4152006,872;-0550,000;9999,000;9999,000;0027,000;1801111118,000
'11/01/2018 11:17:27';0019,000;'ACT:PROB';133566,287;0687,000;285250,100;151683,813;-0550,000;9999,000;9999,000;0049,000;1801111118,000
'11/01/2018 11:17:27';0020,000;'ACT:PROB';128432,360;0670,000;7658424,000;7529991,640;-0550,000;9999,000;9999,000;0047,000;1801111118,000
'11/01/2018 11:17:27';0021,000;'ACT:PROB';97610,948;0686,000;3495480,000;3397869,052;-0550,000;9999,000;9999,000;0066,000;1801111118,000
'11/01/2018 11:17:27';0022,000;'ACT:PROB';138485,483;0653,000;5986230,000;5847744,517;-0550,000;0062,000;0061,000;9999,000;1801111118,000
'11/01/2018 11:17:27';0023,000;'ACT:PROB';114403,158;0684,000;2895939,000;2781535,842;-0550,000;9999,000;9999,000;9999,000;1801111118,000
'11/01/2018 11:17:27';0024,000;'ACT:PROB';107910,603;0656,000;5021366,000;4913455,397;-0550,000;0080,000;0079,000;9999,000;1801111118,000
'11/01/2018 11:17:27';0025,000;'ACT:PROB';97765,514;0685,000;4223473,000;4125707,486;-0550,000;9999,000;9999,000;0040,000;1801111118,000
'11/01/2018 11:17:27';0026,000;'ACT:PROB';156739,449;0678,000;2645019,000;2488279,551;-0550,000;9999,000;9999,000;9999,000;1801111118,000
'11/01/2018 11:17:27';0027,000;'ACT:PROB';78268,749;0681,000;4684536,000;4606267,251;-0550,000;9999,000;9999,000;0060,000;1801111118,000
'11/01/2018 11:17:27';0028,000;'ACT:PROB';621602,964;0643,000;2908981,000;2287378,036;-0550,000;9999,000;9999,000;0064,000;1801111118,000
'11/01/2018 11:17:27';0029,000;'ACT:PROB';102587,045;0656,000;2512952,000;2410364,955;-0550,000;0068,000;0067,000;9999,000;1801111118,000
'11/01/2018 11:17:27';0030,000;'ACT:PROB';317175,552;0652,000;2534538,000;2217362,448;-0550,000;9999,000;9999,000;9999,000;1801111118,000
'11/01/2018 11:17:27';0031,000;'ACT:PROB';133666,481;0680,000;6544086,000;6410419,519;-0550,000;9999,000;9999,000;0059,000;1801111118,000
'11/01/2018 11:17:27';0032,000;'ACT:PROB';91495,609;0682,000;2617795,000;2526299,391;-0550,000;9999,000;9999,000;9999,000;1801111118,000
'11/01/2018 11:17:27';0033,000;'ACT:PROB';110695,204;0662,000;3482218,000;3371522,796;-0550,000;0080,000;0079,000;9999,000;1801111118,000
'11/01/2018 11:17:27';0034,000;'ACT:PROB';202001,944;0671,000;4331734,000;4129732,056;-0550,000;9999,000;9999,000;0050,000;1801111118,000
'11/01/2018 11:17:27';0035,000;'ACT:PROB';304342,642;0665,000;3466024,000;3161681,358;-0550,000;9999,000;9999,000;9999,000;1801111118,000
'11/01/2018 11:17:27';0036,000;'ACT:PROB';425981,126;0714,000;5885627,000;5459645,874;-0550,000;9999,000;9999,000;9999,000;1801111118,000
'11/01/2018 11:17:27';0037,000;'ACT:PROB';93783,843;0631,000;1905313,000;1811529,157;-0550,000;0050,000;0049,000;0041,000;1801111118,000
'11/01/2018 11:17:27';0038,000;'ACT:PROB';398714,170;0661,000;8030104,000;7631389,830;-0550,000;0077,000;0076,000;0063,000;1801111118,000
'11/01/2018 11:17:27';0039,000;'ACT:PROB';119305,513;0666,000;4490793,000;4371487,487;-0550,000;9999,000;9999,000;9999,000;1801111118,000
'11/01/2018 11:17:27';0040,000;'ACT:PROB';118028,105;0651,000;4504651,000;4386622,895;-0550,000;0071,000;0070,000;9999,000;1801111118,000
'11/01/2018 11:17:27';0041,000;'ACT:PROB';217065,493;0646,000;3453498,000;3236432,507;-0550,000;0063,000;0062,000;9999,000;1801111118,000
'11/01/2018 11:17:27';0042,000;'ACT:PROB';149666,785;0666,000;4839128,000;4689461,215;-0550,000;0070,000;0069,000;0064,000;1801111118,000
'11/01/2018 11:17:27';0043,000;'ACT:PROB';141788,102;0683,000;1746804,000;1605015,898;-0550,000;9999,000;9999,000;0030,000;1801111118,000
'11/01/2018 11:17:27';0044,000;'ACT:PROB';196090,993;0713,000;2749394,000;2553303,007;-0550,000;9999,000;9999,000;9999,000;1801111118,000
'11/01/2018 11:17:27';0045,000;'ACT:PROB';114176,067;0681,000;5906843,000;5792666,933;-0550,000;9999,000;9999,000;0063,000;1801111118,000
'11/01/2018 11:17:27';0046,000;'ACT:PROB';118896,301;0737,000;3020054,000;2901157,699;-0550,000;0077,000;0076,000;9999,000;1801111118,000
'11/01/2018 11:17:27';0047,000;'ACT:PROB';131528,247;0722,000;4902856,000;4771327,753;-0550,000;9999,000;9999,000;0050,000;1801111118,000
'11/01/2018 11:17:27';0048,000;'ACT:PROB';220969,589;0684,000;4500625,000;4279655,411;-0550,000;0042,000;0041,000;0034,000;1801111118,000
'11/01/2018 11:17:27';0049,000;'ACT:PROB';1031558,360;0665,000;2358655,000;1327096,640;-0550,000;9999,000;9999,000;9999,000;1801111118,000
'11/01/2018 11:17:27';0050,000;'ACT:PROB';131360,613;0669,000;3008287,000;2876926,387;-0550,000;9999,000;9999,000;0021,000;1801111118,000
'11/01/2018 11:17:27';0051,000;'ACT:PROB';99597,546;0709,000;3451403,000;3351805,454;-0550,000;9999,000;9999,000;0035,000;1801111118,000
'11/01/2018 11:17:27';0052,000;'ACT:PROB';125259,097;0671,000;4439845,000;4314585,903;-0550,000;9999,000;9999,000;0048,000;1801111118,000
'11/01/2018 11:17:27';0053,000;'ACT:PROB';150146,106;0628,000;3356630,000;3206483,894;-0550,000;0044,000;0043,000;0031,000;1801111118,000
'11/01/2018 11:17:27';0054,000;'ACT:PROB';122720,219;0645,000;6137617,000;6014896,781;-0550,000;0058,000;0057,000;9999,000;1801111118,000
'11/01/2018 11:17:27';0055,000;'ACT:PROB';141572,740;0671,000;2167128,000;2025555,260;-0550,000;9999,000;9999,000;0041,000;1801111118,000
'11/01/2018 11:17:27';0056,000;'ACT:PROB';120588,754;0666,000;3488292,000;3367703,246;-0550,000;9999,000;9999,000;0067,000;1801111118,000
'11/01/2018 11:17:27';0057,000;'ACT:PROB';155297,856;0650,000;2845673,000;2690375,144;-0550,000;0078,000;0077,000;9999,000;1801111118,000
'11/01/2018 11:17:27';0058,000;'ACT:PROB';95710,830;0649,000;2950623,000;2854912,170;-0550,000;0070,000;0069,000;9999,000;1801111118,000
