version	timestamp	block number	trial number	lost msec	free VRAM	trial contents	US	Startle_Circle	Startle_ITI	C1	C2	C3	C5	C4	C6	C7	C8	C9	C10	No_Startle	Generalization_Block	No_US	Size	US_expect	Resp_Rev	US_Intensity	Total_trial_nr	group	
21622	Thu Nov 09 11:22:52 2017	2	1	182::43	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	999	2		170	1	1	
21622	Thu Nov 09 11:23:11 2017	2	2	2::2	2249.14		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	999			170	2	1	
21622	Thu Nov 09 11:23:21 2017	2	3	282::11	2249.14		0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	30	2		170	3	1	
21622	Thu Nov 09 11:23:38 2017	2	4	2::2	2249.14		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	999			170	4	1	
21622	Thu Nov 09 11:23:47 2017	2	5	0::1	2249.14		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	999			170	5	1	
21622	Thu Nov 09 11:23:57 2017	2	6	246::11	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	80	2		170	6	1	
21622	Thu Nov 09 11:24:16 2017	2	7	227::10	2249.14		0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	20	2		170	7	1	
21622	Thu Nov 09 11:24:35 2017	2	8	268::10	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	90	2		170	8	1	
21622	Thu Nov 09 11:24:52 2017	2	9	245::10	2249.14		0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	20	2		170	9	1	
21622	Thu Nov 09 11:25:10 2017	2	10	0::1	2249.14		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	999			170	10	1	
21622	Thu Nov 09 11:25:37 2017	3	1	85::10	2249.14		0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	999	2		170	11	1	
21622	Thu Nov 09 11:25:55 2017	3	2	222::10	2249.14		1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	30	2		170	12	1	
21622	Thu Nov 09 11:26:13 2017	3	3	271::10	2249.14		1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	40	5		170	13	1	
21622	Thu Nov 09 11:26:32 2017	3	4	251::12	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	150	6		170	14	1	
21622	Thu Nov 09 11:26:51 2017	3	5	267::10	2249.14		0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	151	4		170	15	1	
21622	Thu Nov 09 11:27:09 2017	3	6	189::11	2249.14		1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	70	4		170	16	1	
21622	Thu Nov 09 11:27:28 2017	3	7	220::10	2249.14		0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	150	6		170	17	1	
21622	Thu Nov 09 11:27:45 2017	3	8	220::11	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	151	2		170	18	1	
21622	Thu Nov 09 11:28:03 2017	3	9	211::10	2249.14		1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	50	6		170	19	1	
21622	Thu Nov 09 11:28:21 2017	3	10	0::1	2249.14		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	999			170	20	1	
21622	Thu Nov 09 11:28:31 2017	3	11	201::11	2249.14		0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	150	2		170	21	1	
21622	Thu Nov 09 11:28:50 2017	3	12	221::10	2249.14		1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	69	8		170	22	1	
21622	Thu Nov 09 11:29:08 2017	3	13	252::11	2249.14		0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	151	2		170	23	1	
21622	Thu Nov 09 11:29:28 2017	3	14	204::10	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	150	2		170	24	1	
21622	Thu Nov 09 11:29:47 2017	3	15	204::10	2249.14		1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	81	8		170	25	1	
21622	Thu Nov 09 11:30:06 2017	3	16	254::10	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	151	2		170	26	1	
21622	Thu Nov 09 11:30:26 2017	3	17	206::10	2249.14		1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	10	8		170	27	1	
21622	Thu Nov 09 11:30:45 2017	3	18	208::12	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	140	2		170	28	1	
21622	Thu Nov 09 11:31:02 2017	3	19	190::10	2249.14		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	20	8		170	29	1	
21622	Thu Nov 09 11:31:20 2017	3	20	253::11	2249.14		1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	30	2		170	30	1	
21622	Thu Nov 09 11:31:38 2017	3	21	220::10	2249.14		0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	140	2		170	31	1	
21622	Thu Nov 09 11:31:56 2017	3	22	203::10	2249.14		0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	39	8		170	32	1	
21622	Thu Nov 09 11:32:16 2017	3	23	231::10	2249.14		1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	39	2		170	33	1	
