CLIENT;TRIALN;KEY;MEAN;MAXGENT;MAXV;AMPLITUDO;LATENCYMAX;LATNCY3XLR;LATNCY3XRL;LATNCY3XDIF;DATE
'14/06/2018 15:08:01';0001,000;'ACT:PROB';1750871,381;0723,000;8391710,000;6640838,619;-0550,000;9999,000;9999,000;0045,000;1806141508,000
'14/06/2018 15:08:01';0002,000;'ACT:PROB';244636,874;0612,000;6473376,000;6228739,126;-0550,000;0028,000;0027,000;0021,000;1806141508,000
'14/06/2018 15:08:01';0003,000;'ACT:PROB';639868,938;0693,000;5383843,000;4743974,063;-0550,000;9999,000;9999,000;9999,000;1806141508,000
'14/06/2018 15:08:01';0004,000;'ACT:PROB';1058248,054;0622,000;5592126,000;4533877,946;-0550,000;0057,000;0056,000;0031,000;1806141508,000
'14/06/2018 15:08:01';0005,000;'ACT:PROB';223423,087;0625,000;6291719,000;6068295,913;-0550,000;0041,000;0040,000;0033,000;1806141508,000
'14/06/2018 15:08:01';0006,000;'ACT:PROB';390489,302;0617,000;5256495,000;4866005,698;-0550,000;0048,000;0047,000;0041,000;1806141508,000
'14/06/2018 15:08:01';0007,000;'ACT:PROB';337975,616;0687,000;6648386,000;6310410,384;-0550,000;9999,000;9999,000;0064,000;1806141508,000
'14/06/2018 15:08:01';0008,000;'ACT:PROB';681505,174;0619,000;6323392,000;5641886,826;-0550,000;0049,000;0048,000;0037,000;1806141508,000
'14/06/2018 15:08:01';0009,000;'ACT:PROB';979426,232;0609,000;6806151,000;5826724,768;-0550,000;0044,000;0043,000;0037,000;1806141508,000
'14/06/2018 15:08:01';0010,000;'ACT:PROB';237987,594;0675,000;3911239,000;3673251,406;-0550,000;9999,000;9999,000;0025,000;1806141508,000
'14/06/2018 15:08:01';0011,000;'ACT:PROB';715800,315;0647,000;5172035,000;4456234,685;-0550,000;9999,000;9999,000;9999,000;1806141508,000
'14/06/2018 15:08:01';0012,000;'ACT:PROB';239384,225;0689,000;4649393,000;4410008,775;-0550,000;9999,000;9999,000;9999,000;1806141508,000
'14/06/2018 15:08:01';0013,000;'ACT:PROB';335977,382;0729,000;7885392,000;7549414,618;-0550,000;9999,000;9999,000;9999,000;1806141508,000
'14/06/2018 15:08:01';0014,000;'ACT:PROB';643856,961;0716,000;5825052,000;5181195,039;-0550,000;9999,000;9999,000;9999,000;1806141508,000
'14/06/2018 15:08:01';0015,000;'ACT:PROB';603399,635;0666,000;6216136,000;5612736,365;-0550,000;9999,000;9999,000;9999,000;1806141508,000
'14/06/2018 15:08:01';0016,000;'ACT:PROB';366760,304;0658,000;6888958,000;6522197,696;-0550,000;0063,000;0062,000;0053,000;1806141508,000
'14/06/2018 15:08:01';0017,000;'ACT:PROB';2176363,667;0655,000;8489281,000;6312917,333;-0550,000;0080,000;0079,000;0058,000;1806141508,000
'14/06/2018 15:08:01';0018,000;'ACT:PROB';241674,365;0702,000;6333552,000;6091877,635;-0550,000;9999,000;9999,000;0068,000;1806141508,000
'14/06/2018 15:08:01';0019,000;'ACT:PROB';287998,179;0671,000;6578154,000;6290155,821;-0550,000;9999,000;9999,000;0046,000;1806141508,000
'14/06/2018 15:08:01';0020,000;'ACT:PROB';342655,847;0647,000;5587949,000;5245293,153;-0550,000;0065,000;0064,000;0056,000;1806141508,000
'14/06/2018 15:08:01';0021,000;'ACT:PROB';525033,618;0662,000;5535320,000;5010286,382;-0550,000;9999,000;9999,000;9999,000;1806141508,000
'14/06/2018 15:08:01';0022,000;'ACT:PROB';539669,680;0695,000;5886600,000;5346930,320;-0550,000;9999,000;9999,000;9999,000;1806141508,000
'14/06/2018 15:08:01';0023,000;'ACT:PROB';207347,437;0714,000;5739496,000;5532148,563;-0550,000;9999,000;9999,000;9999,000;1806141508,000
'14/06/2018 15:08:01';0024,000;'ACT:PROB';293207,183;0617,000;6887437,000;6594229,817;-0550,000;0033,000;0032,000;0023,000;1806141508,000
'14/06/2018 15:08:01';0025,000;'ACT:PROB';393116,012;0711,000;1607516,000;1214399,988;-0550,000;9999,000;9999,000;9999,000;1806141508,000
'14/06/2018 15:08:01';0026,000;'ACT:PROB';774543,256;0648,000;5347238,000;4572694,744;-0550,000;9999,000;9999,000;9999,000;1806141508,000
'14/06/2018 15:08:01';0027,000;'ACT:PROB';368345,879;0662,000;5980747,000;5612401,121;-0550,000;0073,000;0072,000;9999,000;1806141508,000
'14/06/2018 15:08:01';0028,000;'ACT:PROB';539020,813;0679,000;5397648,000;4858627,188;-0550,000;9999,000;9999,000;9999,000;1806141508,000
'14/06/2018 15:08:01';0029,000;'ACT:PROB';381081,039;0676,000;4788215,000;4407133,961;-0550,000;9999,000;9999,000;0054,000;1806141508,000
'14/06/2018 15:08:01';0030,000;'ACT:PROB';929583,098;0678,000;4088587,000;3159003,902;-0550,000;9999,000;9999,000;9999,000;1806141508,000
'14/06/2018 15:08:01';0031,000;'ACT:PROB';235014,920;0736,000;5169408,000;4934393,080;-0550,000;9999,000;9999,000;0023,000;1806141508,000
'14/06/2018 15:08:01';0032,000;'ACT:PROB';255908,485;0704,000;5890426,000;5634517,515;-0550,000;9999,000;9999,000;0032,000;1806141508,000
'14/06/2018 15:08:01';0033,000;'ACT:PROB';2590740,274;0722,000;1606627,000;0000,000;-0550,000;9999,000;9999,000;9999,000;1806141508,000
'14/06/2018 15:08:01';0034,000;'ACT:PROB';367466,485;0668,000;5247216,000;4879749,515;-0550,000;9999,000;9999,000;9999,000;1806141508,000
'14/06/2018 15:08:01';0035,000;'ACT:PROB';255347,399;0684,000;4824599,000;4569251,601;-0550,000;9999,000;9999,000;0036,000;1806141508,000
'14/06/2018 15:08:01';0036,000;'ACT:PROB';393607,374;0653,000;5478412,000;5084804,626;-0550,000;9999,000;9999,000;0054,000;1806141508,000
'14/06/2018 15:08:01';0037,000;'ACT:PROB';234679,996;0652,000;3007831,000;2773151,004;-0550,000;9999,000;9999,000;9999,000;1806141508,000
'14/06/2018 15:08:01';0038,000;'ACT:PROB';256633,766;0661,000;4374519,000;4117885,234;-0550,000;9999,000;9999,000;9999,000;1806141508,000
'14/06/2018 15:08:01';0039,000;'ACT:PROB';198332,185;0713,000;4508412,000;4310079,815;-0550,000;9999,000;9999,000;0058,000;1806141508,000
'14/06/2018 15:08:01';0040,000;'ACT:PROB';208957,447;0709,000;4923267,000;4714309,553;-0550,000;9999,000;9999,000;0033,000;1806141508,000
'14/06/2018 15:08:01';0041,000;'ACT:PROB';217709,044;0641,000;5224792,000;5007082,956;-0550,000;0067,000;0066,000;9999,000;1806141508,000
'14/06/2018 15:08:01';0042,000;'ACT:PROB';282994,905;0666,000;1716590,000;1433595,095;-0550,000;9999,000;9999,000;0065,000;1806141508,000
'14/06/2018 15:08:01';0043,000;'ACT:PROB';190242,153;0712,000;5007837,000;4817594,847;-0550,000;9999,000;9999,000;0045,000;1806141508,000
'14/06/2018 15:08:01';0044,000;'ACT:PROB';206298,585;0637,000;5472233,000;5265934,415;-0550,000;0050,000;0049,000;0042,000;1806141508,000
'14/06/2018 15:08:01';0045,000;'ACT:PROB';167506,746;0704,000;3638222,000;3470715,254;-0550,000;9999,000;9999,000;0030,000;1806141508,000
'14/06/2018 15:08:01';0046,000;'ACT:PROB';192033,166;0716,000;3411332,000;3219298,834;-0550,000;9999,000;9999,000;0069,000;1806141508,000
'14/06/2018 15:08:01';0047,000;'ACT:PROB';287111,829;0608,000;2637214,000;2350102,171;-0550,000;0029,000;0028,000;9999,000;1806141508,000
'14/06/2018 15:08:01';0048,000;'ACT:PROB';202889,308;0678,000;7275385,000;7072495,692;-0550,000;9999,000;9999,000;0061,000;1806141508,000
'14/06/2018 15:08:01';0049,000;'ACT:PROB';238136,025;0645,000;7951246,000;7713109,975;-0550,000;0050,000;0049,000;9999,000;1806141508,000
'14/06/2018 15:08:01';0050,000;'ACT:PROB';199035,333;0645,000;5443557,000;5244521,667;-0550,000;0063,000;0062,000;0055,000;1806141508,000
'14/06/2018 15:08:01';0051,000;'ACT:PROB';179005,978;0642,000;3999540,000;3820534,022;-0550,000;0069,000;0068,000;9999,000;1806141508,000
'14/06/2018 15:08:01';0052,000;'ACT:PROB';179629,236;0679,000;6242338,000;6062708,764;-0550,000;0066,000;0065,000;0059,000;1806141508,000
'14/06/2018 15:08:01';0053,000;'ACT:PROB';224612,849;0672,000;4429968,000;4205355,151;-0550,000;0079,000;0078,000;9999,000;1806141508,000
'14/06/2018 15:08:01';0054,000;'ACT:PROB';192286,900;0642,000;5498180,000;5305893,100;-0550,000;0069,000;0068,000;9999,000;1806141508,000
'14/06/2018 15:08:01';0055,000;'ACT:PROB';241238,509;0686,000;2037738,000;1796499,491;-0550,000;9999,000;9999,000;0033,000;1806141508,000
'14/06/2018 15:08:01';0056,000;'ACT:PROB';167426,614;0650,000;6312613,000;6145186,386;-0550,000;0058,000;0057,000;0053,000;1806141508,000
'14/06/2018 15:08:01';0057,000;'ACT:PROB';158380,918;0661,000;4785046,000;4626665,082;-0550,000;9999,000;9999,000;0057,000;1806141508,000
'14/06/2018 15:08:01';0058,000;'ACT:PROB';435992,801;0670,000;3065158,000;2629165,199;-0550,000;9999,000;9999,000;9999,000;1806141508,000
'14/06/2018 15:08:01';0059,000;'ACT:PROB';578107,708;0645,000;5360885,000;4782777,292;-0550,000;0079,000;0078,000;9999,000;1806141508,000
'14/06/2018 15:08:01';0060,000;'ACT:PROB';522208,436;0669,000;6036275,000;5514066,564;-0550,000;9999,000;9999,000;9999,000;1806141508,000
'14/06/2018 15:08:01';0061,000;'ACT:PROB';129554,109;0727,000;8323003,000;8193448,891;-0550,000;9999,000;9999,000;0031,000;1806141508,000
'14/06/2018 15:08:01';0062,000;'ACT:PROB';314038,326;0655,000;3912210,000;3598171,674;-0550,000;9999,000;9999,000;9999,000;1806141508,000
'14/06/2018 15:08:01';0063,000;'ACT:PROB';169463,667;0636,000;2175850,000;2006386,333;-0550,000;0059,000;0058,000;0046,000;1806141508,000
'14/06/2018 15:08:01';0064,000;'ACT:PROB';124640,508;0733,000;1295724,000;1171083,492;-0550,000;9999,000;9999,000;0024,000;1806141508,000
'14/06/2018 15:08:01';0065,000;'ACT:PROB';112847,887;0671,000;2803460,000;2690612,113;-0550,000;9999,000;9999,000;0050,000;1806141508,000
'14/06/2018 15:08:01';0066,000;'ACT:PROB';387248,932;0666,000;1386730,000;999481,068;-0550,000;9999,000;9999,000;9999,000;1806141508,000
'14/06/2018 15:08:01';0067,000;'ACT:PROB';564620,397;0647,000;5461091,000;4896470,603;-0550,000;0078,000;0077,000;9999,000;1806141508,000
