version	timestamp	block number	trial number	lost msec	free VRAM	trial contents	US	Startle_Circle	Startle_ITI	C1	C2	C3	C5	C4	C6	C7	C8	C9	C10	No_Startle	Generalization_Block	No_US	Size	US_expect	Resp_Rev	US_Intensity	Total_trial_nr	group	
21622	Mon Dec 04 15:38:07 2017	2	1	198::55	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	999	3		140	1	2	
21622	Mon Dec 04 15:38:25 2017	2	2	0::1	2249.14		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	999			140	2	2	
21622	Mon Dec 04 15:38:32 2017	2	3	0::1	2249.14		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	999			140	3	2	
21622	Mon Dec 04 15:38:40 2017	2	4	349::11	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	105	4		140	4	2	
21622	Mon Dec 04 15:38:58 2017	2	5	310::10	2249.14		0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	55	5		140	5	2	
21622	Mon Dec 04 15:39:15 2017	2	6	297::10	2249.14		0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	54	4		140	6	2	
21622	Mon Dec 04 15:39:35 2017	2	7	293::10	2249.14		0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	44	4		140	7	2	
21622	Mon Dec 04 15:39:52 2017	2	8	0::1	2249.14		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	999			140	8	2	
21622	Mon Dec 04 15:40:00 2017	2	9	0::1	2249.14		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	999			140	9	2	
21622	Mon Dec 04 15:40:10 2017	2	10	280::10	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	135	5		140	10	2	
21622	Mon Dec 04 15:40:56 2017	3	1	216::10	2249.14		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	35	6		140	11	2	
21622	Mon Dec 04 15:41:15 2017	3	2	279::10	2249.14		0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	45	4		140	12	2	
21622	Mon Dec 04 15:41:33 2017	3	3	283::10	2249.14		1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	134	5		140	13	2	
21622	Mon Dec 04 15:41:52 2017	3	4	400::10	2249.14		1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	134	6		140	14	2	
21622	Mon Dec 04 15:42:10 2017	3	5	244::10	2249.14		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	44	6		140	15	2	
21622	Mon Dec 04 15:42:28 2017	3	6	231::10	2249.14		0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	44	5		140	16	2	
21622	Mon Dec 04 15:42:46 2017	3	7	193::10	2249.14		1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	145	6		140	17	2	
21622	Mon Dec 04 15:43:05 2017	3	8	228::10	2249.14		0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	55	6		140	18	2	
21622	Mon Dec 04 15:43:23 2017	3	9	195::11	2249.14		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	64	6		140	19	2	
21622	Mon Dec 04 15:43:43 2017	3	10	222::10	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	145	7		140	20	2	
21622	Mon Dec 04 15:44:01 2017	3	11	189::10	2249.14		0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	147	7		140	21	2	
21622	Mon Dec 04 15:44:19 2017	3	12	276::10	2249.14		0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	34	6		140	22	2	
21622	Mon Dec 04 15:44:38 2017	3	13	325::10	2249.14		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	40	5		140	23	2	
21622	Mon Dec 04 15:44:58 2017	3	14	228::10	2249.14		1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	135	5		140	24	2	
21622	Mon Dec 04 15:45:17 2017	3	15	223::11	2249.14		1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	128	6		140	25	2	
21622	Mon Dec 04 15:45:34 2017	3	16	0::1	2249.14		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	999			140	26	2	
21622	Mon Dec 04 15:45:43 2017	3	17	250::10	2249.14		1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	142	6		140	27	2	
21622	Mon Dec 04 15:46:02 2017	3	18	273::10	2249.14		0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	24	7		140	28	2	
21622	Mon Dec 04 15:46:21 2017	3	19	236::10	2249.14		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	43	7		140	29	2	
21622	Mon Dec 04 15:46:41 2017	3	20	253::11	2249.14		1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	155	6		140	30	2	
21622	Mon Dec 04 15:47:01 2017	3	21	236::11	2249.14		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	55	6		140	31	2	
21622	Mon Dec 04 15:47:18 2017	3	22	261::10	2249.14		1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	143	6		140	32	2	
21622	Mon Dec 04 15:47:37 2017	3	23	313::10	2249.14		1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	144	5		140	33	2	
21622	Mon Dec 04 15:47:56 2017	3	24	190::11	2249.14		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	35	6		140	34	2	
21622	Mon Dec 04 15:48:14 2017	3	25	246::10	2249.14		1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	144	5		140	35	2	
21622	Mon Dec 04 15:48:32 2017	4	1	268::12	2249.14		0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	94	6		140	36	2	
21622	Mon Dec 04 15:48:50 2017	4	2	293::10	2249.14		0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	36	6		140	37	2	
21622	Mon Dec 04 15:49:09 2017	4	3	272::11	2249.14		1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	145	5		140	38	2	
21622	Mon Dec 04 15:49:28 2017	4	4	245::11	2249.14		0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	126	5		140	39	2	
21622	Mon Dec 04 15:49:46 2017	4	5	261::12	2249.14		0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	137	6		140	40	2	
21622	Mon Dec 04 15:50:04 2017	4	6	262::10	2249.14		0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	124	5		140	41	2	
21622	Mon Dec 04 15:50:23 2017	4	7	234::11	2249.14		0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	44	4		140	42	2	
21622	Mon Dec 04 15:50:40 2017	4	8	0::1	2249.14		0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	999			140	43	2	
21622	Mon Dec 04 15:50:48 2017	4	9	226::10	2249.14		0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	137	6		140	44	2	
21622	Mon Dec 04 15:51:06 2017	4	10	274::10	2249.14		0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	126	5		140	45	2	
21622	Mon Dec 04 15:51:24 2017	4	11	269::10	2249.14		0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	37	5		140	46	2	
21622	Mon Dec 04 15:51:44 2017	4	12	245::10	2249.14		0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	74	6		140	47	2	
21622	Mon Dec 04 15:52:01 2017	4	13	252::10	2249.14		1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	145	7		140	48	2	
21622	Mon Dec 04 15:52:19 2017	4	14	213::10	2249.14		0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	37	6		140	49	2	
21622	Mon Dec 04 15:52:37 2017	4	15	270::10	2249.14		0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	46	6		140	50	2	
21622	Mon Dec 04 15:52:57 2017	4	16	213::12	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	154	7		140	51	2	
21622	Mon Dec 04 15:53:15 2017	4	17	145::6	2249.14		0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	126	999		140	52	2	
21622	Mon Dec 04 15:53:34 2017	4	18	300::10	2249.14		0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	45	6		140	53	2	
21622	Mon Dec 04 15:53:52 2017	4	19	340::10	2249.14		0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	106	7		140	54	2	
21622	Mon Dec 04 15:54:12 2017	4	20	243::11	2249.14		0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	123	5		140	55	2	
21622	Mon Dec 04 15:54:31 2017	4	21	227::10	2249.14		0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	56	6		140	56	2	
21622	Mon Dec 04 15:54:51 2017	4	22	268::10	2249.14		0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	114	5		140	57	2	
21622	Mon Dec 04 15:55:10 2017	4	23	175::11	2249.14		1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	999	6		140	58	2	
21622	Mon Dec 04 15:55:28 2017	4	24	229::10	2249.14		0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	54	5		140	59	2	
21622	Mon Dec 04 15:55:48 2017	4	25	231::10	2249.14		0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	84	6		140	60	2	
21622	Mon Dec 04 15:56:06 2017	4	26	318::12	2249.14		0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	34	4		140	61	2	
21622	Mon Dec 04 15:56:24 2017	4	27	236::10	2249.14		0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	125	6		140	62	2	
21622	Mon Dec 04 15:56:44 2017	4	28	0::1	2249.14		0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	999			140	63	2	
21622	Mon Dec 04 15:56:52 2017	4	29	289::10	2249.14		0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	95	4		140	64	2	
21622	Mon Dec 04 15:57:09 2017	4	30	308::10	2249.14		0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	77	4		140	65	2	
21622	Mon Dec 04 15:57:27 2017	4	31	212::11	2249.14		0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	48	4		140	66	2	
21622	Mon Dec 04 15:57:45 2017	4	32	343::10	2249.14		1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	154	4		140	67	2	
21622	Mon Dec 04 15:58:03 2017	4	33	308::10	2249.14		0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	27	4		140	68	2	
21622	Mon Dec 04 15:58:20 2017	4	34	307::12	2249.14		0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	44	4		140	69	2	
21622	Mon Dec 04 15:58:40 2017	4	35	278::10	2249.14		0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	63	5		140	70	2	
21622	Mon Dec 04 15:58:58 2017	4	36	284::10	2249.14		0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	54	5		140	71	2	
21622	Mon Dec 04 15:59:16 2017	4	37	304::10	2249.14		1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	143	5		140	72	2	
21622	Mon Dec 04 15:59:35 2017	4	38	255::10	2249.14		0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	46	4		140	73	2	
21622	Mon Dec 04 15:59:55 2017	4	39	237::10	2249.14		0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	74	5		140	74	2	
21622	Mon Dec 04 16:00:13 2017	4	40	283::10	2249.14		0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	74	5		140	75	2	
21622	Mon Dec 04 16:00:33 2017	4	41	276::11	2249.14		0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	67	6		140	76	2	
21622	Mon Dec 04 16:00:52 2017	4	42	252::10	2249.14		0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	28	5		140	77	2	
21622	Mon Dec 04 16:01:10 2017	4	43	204::11	2249.14		0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	56	6		140	78	2	
21622	Mon Dec 04 16:01:28 2017	4	44	263::11	2249.14		0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	56	5		140	79	2	
21622	Mon Dec 04 16:01:46 2017	4	45	279::10	2249.14		0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	47	6		140	80	2	
21622	Mon Dec 04 16:02:06 2017	4	46	301::10	2249.14		0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	46	4		140	81	2	
21622	Mon Dec 04 16:02:23 2017	4	47	295::10	2249.14		0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	43	4		140	82	2	
21622	Mon Dec 04 16:02:40 2017	4	48	324::10	2249.14		1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	165	6		140	83	2	
21622	Mon Dec 04 16:03:00 2017	4	49	278::10	2249.14		0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	26	6		140	84	2	
21622	Mon Dec 04 16:03:20 2017	4	50	294::12	2249.14		0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	27	5		140	85	2	
21622	Mon Dec 04 16:06:14 2017	5	1	314::10	2249.14		0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	134	6		140	86	2	
21622	Mon Dec 04 16:06:32 2017	5	2	276::10	2249.14		1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	136	6		140	87	2	
21622	Mon Dec 04 16:06:50 2017	5	3	242::10	2249.14		1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	127	7		140	88	2	
21622	Mon Dec 04 16:07:08 2017	5	4	310::11	2249.14		1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	143	6		140	89	2	
21622	Mon Dec 04 16:07:26 2017	5	5	378::10	2249.14		1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	147	6		140	90	2	
21622	Mon Dec 04 16:07:43 2017	5	6	230::11	2249.14		1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	135	7		140	91	2	
21622	Mon Dec 04 16:08:03 2017	6	1	220::10	2249.14		0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	95	7		140	92	2	
21622	Mon Dec 04 16:08:22 2017	6	2	238::10	2249.14		0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	75	6		140	93	2	
21622	Mon Dec 04 16:08:40 2017	6	3	300::11	2249.14		1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	154	6		140	94	2	
21622	Mon Dec 04 16:08:57 2017	6	4	280::10	2249.14		0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	56	6		140	95	2	
21622	Mon Dec 04 16:09:15 2017	6	5	275::10	2249.14		0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	107	6		140	96	2	
21622	Mon Dec 04 16:09:33 2017	6	6	194::11	2249.14		0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	46	7		140	97	2	
