CLIENT;TRIALN;KEY;MEAN;MAXGENT;MAXV;AMPLITUDO;LATENCYMAX;LATNCY3XLR;LATNCY3XRL;LATNCY3XDIF;DATE
'18/06/2018 9:00:53';0001,000;'ACT:PROB';242136,652;0740,000;7468687,000;7226550,348;-0550,000;0030,000;0066,000;9999,000;1806180901,000
'18/06/2018 9:00:53';0002,000;'ACT:PROB';284931,668;0647,000;9850335,000;9565403,332;-0550,000;0032,000;0031,000;0025,000;1806180901,000
'18/06/2018 9:00:53';0003,000;'ACT:PROB';379891,028;0621,000;9826364,000;9446472,972;-0550,000;0036,000;0035,000;0027,000;1806180901,000
'18/06/2018 9:00:53';0004,000;'ACT:PROB';237261,738;0649,000;9614049,000;9376787,262;-0550,000;0063,000;0062,000;9999,000;1806180901,000
'18/06/2018 9:00:53';0005,000;'ACT:PROB';117099,851;0608,000;7923581,000;7806481,149;-0550,000;0022,000;0021,000;9999,000;1806180901,000
'18/06/2018 9:00:53';0006,000;'ACT:PROB';163639,510;0616,000;6902464,000;6738824,490;-0550,000;0029,000;0028,000;0022,000;1806180901,000
'18/06/2018 9:00:53';0007,000;'ACT:PROB';254141,125;0619,000;9886964,000;9632822,875;-0550,000;0031,000;0030,000;0025,000;1806180901,000
'18/06/2018 9:00:53';0008,000;'ACT:PROB';193591,814;0624,000;5757885,000;5564293,186;-0550,000;0036,000;0035,000;0029,000;1806180901,000
'18/06/2018 9:00:53';0009,000;'ACT:PROB';145809,561;0680,000;8268349,000;8122539,439;-0550,000;9999,000;9999,000;0035,000;1806180901,000
'18/06/2018 9:00:53';0010,000;'ACT:PROB';184621,972;0609,000;5617951,000;5433329,028;-0550,000;0024,000;0023,000;9999,000;1806180901,000
'18/06/2018 9:00:53';0011,000;'ACT:PROB';168223,366;0699,000;9813037,000;9644813,634;-0550,000;9999,000;9999,000;0027,000;1806180901,000
'18/06/2018 9:00:53';0012,000;'ACT:PROB';588099,811;0688,000;7815304,000;7227204,189;-0550,000;9999,000;9999,000;0024,000;1806180901,000
'18/06/2018 9:00:53';0013,000;'ACT:PROB';179863,327;0677,000;8964883,000;8785019,673;-0550,000;0060,000;0059,000;0054,000;1806180901,000
'18/06/2018 9:00:53';0014,000;'ACT:PROB';182814,692;0645,000;10129370,000;9946555,308;-0550,000;0059,000;0058,000;9999,000;1806180901,000
'18/06/2018 9:00:53';0015,000;'ACT:PROB';166420,773;0715,000;10073750,000;9907329,227;-0550,000;9999,000;9999,000;0070,000;1806180901,000
'18/06/2018 9:00:53';0016,000;'ACT:PROB';140549,543;0669,000;8576878,000;8436328,457;-0550,000;0059,000;0058,000;0052,000;1806180901,000
'18/06/2018 9:00:53';0017,000;'ACT:PROB';117302,573;0656,000;8047032,000;7929729,427;-0550,000;0067,000;0066,000;0061,000;1806180901,000
'18/06/2018 9:00:53';0018,000;'ACT:PROB';160110,523;0667,000;6562010,000;6401899,477;-0550,000;0028,000;0027,000;0057,000;1806180901,000
'18/06/2018 9:00:53';0019,000;'ACT:PROB';108623,957;0668,000;9348290,000;9239666,043;-0550,000;0079,000;0078,000;9999,000;1806180901,000
'18/06/2018 9:00:53';0020,000;'ACT:PROB';151628,388;0642,000;9577232,000;9425603,612;-0550,000;0059,000;0058,000;0058,000;1806180901,000
'18/06/2018 9:00:53';0021,000;'ACT:PROB';134036,659;0678,000;6100967,000;5966930,341;-0550,000;9999,000;9999,000;0058,000;1806180901,000
'18/06/2018 9:00:53';0022,000;'ACT:PROB';129481,472;0700,000;4296173,000;4166691,528;-0550,000;9999,000;9999,000;9999,000;1806180901,000
'18/06/2018 9:00:53';0023,000;'ACT:PROB';503917,624;0718,000;7057607,000;6553689,376;-0550,000;9999,000;9999,000;0027,000;1806180901,000
'18/06/2018 9:00:53';0024,000;'ACT:PROB';81944,219;0702,000;4709041,000;4627096,781;-0550,000;9999,000;9999,000;0059,000;1806180901,000
'18/06/2018 9:00:53';0025,000;'ACT:PROB';97407,734;0656,000;7993625,000;7896217,266;-0550,000;0045,000;0065,000;0061,000;1806180901,000
'18/06/2018 9:00:53';0026,000;'ACT:PROB';258808,209;0615,000;6441498,000;6182689,791;-0550,000;0034,000;0033,000;0023,000;1806180901,000
'18/06/2018 9:00:53';0027,000;'ACT:PROB';93987,822;0660,000;10259500,000;10165512,178;-0550,000;0075,000;0074,000;9999,000;1806180901,000
'18/06/2018 9:00:53';0028,000;'ACT:PROB';138724,356;0735,000;6750543,000;6611818,644;-0550,000;9999,000;9999,000;0040,000;1806180901,000
'18/06/2018 9:00:53';0029,000;'ACT:PROB';107196,137;0664,000;8140793,000;8033596,863;-0550,000;0074,000;0073,000;9999,000;1806180901,000
'18/06/2018 9:00:53';0030,000;'ACT:PROB';289385,786;0725,000;6801719,000;6512333,214;-0550,000;9999,000;9999,000;9999,000;1806180901,000
'18/06/2018 9:00:53';0031,000;'ACT:PROB';119425,077;0652,000;10075470,000;9956044,923;-0550,000;0067,000;0066,000;9999,000;1806180901,000
'18/06/2018 9:00:53';0032,000;'ACT:PROB';527916,469;0662,000;11016780,000;10488863,531;-0550,000;0078,000;0077,000;9999,000;1806180901,000
'18/06/2018 9:00:53';0033,000;'ACT:PROB';73254,456;0718,000;5715938,000;5642683,544;-0550,000;9999,000;9999,000;0028,000;1806180901,000
'18/06/2018 9:00:53';0034,000;'ACT:PROB';86680,528;0652,000;4388597,000;4301916,472;-0550,000;0062,000;0061,000;0058,000;1806180901,000
'18/06/2018 9:00:53';0035,000;'ACT:PROB';92414,942;0713,000;4622260,000;4529845,058;-0550,000;9999,000;9999,000;0062,000;1806180901,000
'18/06/2018 9:00:53';0036,000;'ACT:PROB';109269,787;0665,000;3783306,000;3674036,213;-0550,000;0078,000;0077,000;9999,000;1806180901,000
'18/06/2018 9:00:53';0037,000;'ACT:PROB';91680,413;0655,000;8329933,000;8238252,587;-0550,000;0065,000;0064,000;9999,000;1806180901,000
'18/06/2018 9:00:53';0038,000;'ACT:PROB';90863,520;0668,000;4391523,000;4300659,480;-0550,000;9999,000;9999,000;9999,000;1806180901,000
'18/06/2018 9:00:53';0039,000;'ACT:PROB';99667,478;0704,000;4401496,000;4301828,522;-0550,000;9999,000;9999,000;0034,000;1806180901,000
'18/06/2018 9:00:53';0040,000;'ACT:PROB';106114,990;0644,000;2859937,000;2753822,010;-0550,000;0066,000;0065,000;0061,000;1806180901,000
'18/06/2018 9:00:53';0041,000;'ACT:PROB';87698,853;0708,000;8886161,000;8798462,147;-0550,000;0074,000;0073,000;0068,000;1806180901,000
'18/06/2018 9:00:53';0042,000;'ACT:PROB';634217,234;0661,000;7932425,000;7298207,766;-0550,000;0080,000;0079,000;9999,000;1806180901,000
'18/06/2018 9:00:53';0043,000;'ACT:PROB';80773,208;0686,000;7081874,000;7001100,792;-0550,000;9999,000;9999,000;0063,000;1806180901,000
'18/06/2018 9:00:53';0044,000;'ACT:PROB';138740,579;0653,000;4153335,000;4014594,421;-0550,000;0068,000;0067,000;9999,000;1806180901,000
'18/06/2018 9:00:53';0045,000;'ACT:PROB';924172,384;0649,000;5327687,000;4403514,616;-0550,000;0080,000;0079,000;9999,000;1806180901,000
'18/06/2018 9:00:53';0046,000;'ACT:PROB';198408,527;0676,000;3702907,000;3504498,473;-0550,000;0080,000;0079,000;9999,000;1806180901,000
'18/06/2018 9:00:53';0047,000;'ACT:PROB';112542,323;0673,000;233839,900;121297,577;-0550,000;9999,000;9999,000;0034,000;1806180901,000
'18/06/2018 9:00:53';0048,000;'ACT:PROB';93099,567;0663,000;179480,200;86380,633;-0550,000;9999,000;9999,000;0050,000;1806180901,000
'18/06/2018 9:00:53';0049,000;'ACT:PROB';70215,444;0732,000;4674443,000;4604227,556;-0550,000;9999,000;9999,000;0063,000;1806180901,000
'18/06/2018 9:00:53';0050,000;'ACT:PROB';88484,832;0644,000;7154403,000;7065918,168;-0550,000;0054,000;0053,000;9999,000;1806180901,000
'18/06/2018 9:00:53';0051,000;'ACT:PROB';96997,957;0666,000;4458724,000;4361726,043;-0550,000;9999,000;9999,000;9999,000;1806180901,000
'18/06/2018 9:00:53';0052,000;'ACT:PROB';949466,768;0631,000;7328658,000;6379191,232;-0550,000;0058,000;0057,000;0043,000;1806180901,000
'18/06/2018 9:00:53';0053,000;'ACT:PROB';82989,920;0660,000;5855112,000;5772122,080;-0550,000;0070,000;0069,000;0065,000;1806180901,000
'18/06/2018 9:00:53';0054,000;'ACT:PROB';110823,612;0665,000;3837709,000;3726885,388;-0550,000;9999,000;9999,000;9999,000;1806180901,000
'18/06/2018 9:00:53';0055,000;'ACT:PROB';93724,942;0659,000;5176846,000;5083121,058;-0550,000;0069,000;0068,000;0062,000;1806180901,000
'18/06/2018 9:00:53';0056,000;'ACT:PROB';200290,171;0675,000;4300706,000;4100415,829;-0550,000;9999,000;9999,000;9999,000;1806180901,000
'18/06/2018 9:00:53';0057,000;'ACT:PROB';1218164,857;0671,000;6562838,000;5344673,143;-0550,000;9999,000;9999,000;9999,000;1806180901,000
'18/06/2018 9:00:53';0058,000;'ACT:PROB';162495,370;0608,000;2359992,000;2197496,630;-0550,000;0036,000;0035,000;0027,000;1806180901,000
'18/06/2018 9:00:53';0059,000;'ACT:PROB';281301,562;0727,000;3360793,000;3079491,438;-0550,000;9999,000;9999,000;0047,000;1806180901,000
'18/06/2018 9:00:53';0060,000;'ACT:PROB';104310,710;0655,000;4598183,000;4493872,290;-0550,000;0071,000;0070,000;9999,000;1806180901,000
'18/06/2018 9:00:53';0061,000;'ACT:PROB';93484,190;0673,000;7733805,000;7640320,810;-0550,000;9999,000;9999,000;0055,000;1806180901,000
'18/06/2018 9:00:53';0062,000;'ACT:PROB';81984,702;0645,000;4827832,000;4745847,298;-0550,000;0052,000;0051,000;0045,000;1806180901,000
'18/06/2018 9:00:53';0063,000;'ACT:PROB';93122,282;0666,000;4972079,000;4878956,718;-0550,000;0074,000;0073,000;9999,000;1806180901,000
'18/06/2018 9:00:53';0064,000;'ACT:PROB';107185,882;0676,000;5565153,000;5457967,118;-0550,000;9999,000;9999,000;0038,000;1806180901,000
'18/06/2018 9:00:53';0065,000;'ACT:PROB';125234,338;0671,000;3712612,000;3587377,662;-0550,000;9999,000;9999,000;0050,000;1806180901,000
'18/06/2018 9:00:53';0066,000;'ACT:PROB';141133,910;0682,000;5690843,000;5549709,090;-0550,000;9999,000;9999,000;9999,000;1806180901,000
