version	timestamp	block number	trial number	lost msec	free VRAM	trial contents	US	Startle_Circle	Startle_ITI	C4	C5	C6	C7	C8	C9	C10	No_Startle	Generalization_Block	No_US	Size	US_expect	US_Intensity	Total_trial_nr	
21622	Wed Nov 08 13:19:50 2017	2	1	59::51	2253.59		0	0	1	0	0	0	0	0	0	0	0	0	1	999		320	1	
21622	Wed Nov 08 13:19:58 2017	2	2	125::10	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	999	6	320	2	
21622	Wed Nov 08 13:20:16 2017	2	3	206::10	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	42	6	320	3	
21622	Wed Nov 08 13:20:36 2017	2	4	0::1	2253.59		0	0	1	0	0	0	0	0	0	0	0	0	1	999		320	4	
21622	Wed Nov 08 13:20:44 2017	2	5	276::11	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	50	10	320	5	
21622	Wed Nov 08 13:21:02 2017	2	6	253::10	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	50	8	320	6	
21622	Wed Nov 08 13:21:21 2017	2	7	128::6	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	60	999	320	7	
21622	Wed Nov 08 13:21:38 2017	2	8	1157::12	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	60	6	320	8	
21622	Wed Nov 08 13:21:56 2017	2	9	0::1	2253.59		0	0	1	0	0	0	0	0	0	0	0	0	1	999		320	9	
21622	Wed Nov 08 13:22:03 2017	2	10	0::1	2253.59		0	0	1	0	0	0	0	0	0	0	0	0	1	999		320	10	
21622	Wed Nov 08 13:22:39 2017	3	1	304::10	2253.59		0	0	0	0	0	0	1	0	0	0	1	0	1	50	10	320	11	
21622	Wed Nov 08 13:22:58 2017	3	2	2::2	2253.59		0	0	1	0	0	0	0	0	0	0	0	0	1	999		320	12	
21622	Wed Nov 08 13:23:07 2017	3	3	237::10	2253.59		1	0	0	0	0	0	1	0	0	0	1	0	0	50	10	320	13	
21622	Wed Nov 08 13:23:27 2017	3	4	468::10	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	40	3	320	14	
21622	Wed Nov 08 13:23:45 2017	3	5	289::10	2253.59		1	0	0	0	0	0	1	0	0	0	1	0	0	50	10	320	15	
21622	Wed Nov 08 13:24:03 2017	3	6	271::11	2253.59		1	1	0	0	0	0	1	0	0	0	0	0	0	39	3	320	16	
21622	Wed Nov 08 13:24:21 2017	3	7	232::10	2253.59		0	0	0	0	0	0	1	0	0	0	1	0	1	60	9	320	17	
21622	Wed Nov 08 13:24:39 2017	3	8	301::12	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	59	2	320	18	
21622	Wed Nov 08 13:24:58 2017	3	9	204::10	2253.59		1	0	0	0	0	0	1	0	0	0	1	0	0	65	7	320	19	
21622	Wed Nov 08 13:25:17 2017	3	10	1269::10	2253.59		1	1	0	0	0	0	1	0	0	0	0	0	0	60	9	320	20	
21622	Wed Nov 08 13:25:36 2017	3	11	178::10	2253.59		0	0	0	0	0	0	1	0	0	0	1	0	1	49	3	320	21	
21622	Wed Nov 08 13:25:54 2017	3	12	214::12	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	60	9	320	22	
21622	Wed Nov 08 13:26:13 2017	3	13	200::10	2253.59		1	0	0	0	0	0	1	0	0	0	1	0	0	45	2	320	23	
21622	Wed Nov 08 13:26:32 2017	3	14	206::10	2253.59		1	1	0	0	0	0	1	0	0	0	0	0	0	50	8	320	24	
21622	Wed Nov 08 13:26:50 2017	3	15	211::11	2253.59		0	0	0	0	0	0	1	0	0	0	1	0	1	50	2	320	25	
21622	Wed Nov 08 13:27:09 2017	4	1	357::13	2253.59		0	1	0	0	0	0	0	0	1	0	0	1	1	80	1	320	26	
21622	Wed Nov 08 13:27:27 2017	4	2	190::10	2253.59		0	0	0	1	0	0	0	0	0	0	1	1	1	39	8	320	27	
21622	Wed Nov 08 13:27:46 2017	4	3	2::2	2253.59		0	0	1	0	0	0	0	0	0	0	0	1	1	999		320	28	
21622	Wed Nov 08 13:27:55 2017	4	4	205::10	2253.59		0	0	0	0	0	0	0	1	0	0	1	1	1	75	2	320	29	
21622	Wed Nov 08 13:28:13 2017	4	5	167::10	2253.59		1	1	0	0	0	0	1	0	0	0	0	1	0	55	10	320	30	
21622	Wed Nov 08 13:28:32 2017	4	6	0::1	2253.59		0	0	1	0	0	0	0	0	0	0	0	1	1	999		320	31	
21622	Wed Nov 08 13:28:42 2017	4	7	358::11	2253.59		0	0	0	0	0	0	1	0	0	0	1	1	1	49	10	320	32	
21622	Wed Nov 08 13:29:02 2017	4	8	232::10	2253.59		0	1	0	0	0	0	0	1	0	0	0	1	1	71	9	320	33	
21622	Wed Nov 08 13:29:21 2017	4	9	242::10	2253.59		0	0	0	0	0	0	0	0	1	0	1	1	1	71	8	320	34	
21622	Wed Nov 08 13:29:39 2017	4	10	290::10	2253.59		0	1	0	0	1	0	0	0	0	0	0	1	1	45	1	320	35	
21622	Wed Nov 08 13:29:58 2017	4	11	217::10	2253.59		0	0	0	0	0	0	0	0	1	0	1	1	1	90	8	320	36	
21622	Wed Nov 08 13:30:17 2017	4	12	161::10	2253.59		1	1	0	0	0	0	1	0	0	0	0	1	0	75	8	320	37	
21622	Wed Nov 08 13:30:36 2017	4	13	190::10	2253.59		0	0	0	0	0	0	1	0	0	0	1	1	1	59	9	320	38	
21622	Wed Nov 08 13:30:53 2017	4	14	237::10	2253.59		0	1	0	0	0	1	0	0	0	0	0	1	1	44	8	320	39	
21622	Wed Nov 08 13:31:11 2017	4	15	216::10	2253.59		0	0	0	0	0	0	0	1	0	0	1	1	1	75	9	320	40	
21622	Wed Nov 08 13:31:31 2017	4	16	237::10	2253.59		0	1	0	0	0	0	1	0	0	0	0	1	1	65	8	320	41	
21622	Wed Nov 08 13:31:48 2017	4	17	133::6	2253.59		0	0	0	0	0	1	0	0	0	0	1	1	1	50	999	320	42	
21622	Wed Nov 08 13:32:08 2017	4	18	2424::10	2253.59		0	1	0	1	0	0	0	0	0	0	0	1	1	54	4	320	43	
21622	Wed Nov 08 13:32:26 2017	4	19	167::10	2253.59		1	0	0	0	0	0	1	0	0	0	1	1	0	65	3	320	44	
21622	Wed Nov 08 13:32:44 2017	4	20	340::11	2253.59		0	1	0	0	0	0	1	0	0	0	0	1	1	55	9	320	45	
21622	Wed Nov 08 13:33:02 2017	4	21	243::10	2253.59		0	0	0	0	1	0	0	0	0	0	1	1	1	49	7	320	46	
21622	Wed Nov 08 13:33:21 2017	4	22	447::10	2253.59		0	1	0	1	0	0	0	0	0	0	0	1	1	51	2	320	47	
21622	Wed Nov 08 13:33:40 2017	4	23	198::10	2253.59		1	0	0	0	0	0	1	0	0	0	1	1	0	49	9	320	48	
21622	Wed Nov 08 13:33:58 2017	4	24	688::10	2253.59		0	1	0	0	0	0	0	0	0	1	0	1	1	80	1	320	49	
21622	Wed Nov 08 13:34:16 2017	4	25	349::10	2253.59		0	0	0	0	0	0	1	0	0	0	1	1	1	51	10	320	50	
21622	Wed Nov 08 13:34:35 2017	4	26	213::12	2253.59		0	1	0	0	0	0	0	1	0	0	0	1	1	50	10	320	51	
21622	Wed Nov 08 13:34:52 2017	4	27	1897::6	2253.59		0	0	0	0	0	0	0	0	0	1	1	1	1	80	7	320	52	
21622	Wed Nov 08 13:35:10 2017	4	28	233::10	2253.59		0	1	0	0	1	0	0	0	0	0	0	1	1	48	10	320	53	
21622	Wed Nov 08 13:35:27 2017	4	29	209::10	2253.59		0	0	0	0	0	0	1	0	0	0	1	1	1	61	9	320	54	
21622	Wed Nov 08 13:35:46 2017	4	30	264::11	2253.59		0	1	0	0	0	1	0	0	0	0	0	1	1	50	10	320	55	
