version	timestamp	block number	trial number	lost msec	free VRAM	trial contents	US	Startle_Circle	Startle_ITI	C1	C2	C3	C5	C4	C6	C7	C8	C9	C10	No_Startle	Generalization_Block	No_US	Size	US_expect	Resp_Rev	US_Intensity	Total_trial_nr	group	
21622	Fri Oct 27 09:17:05 2017	2	1	230::46	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	999	3		110	1	1	
21622	Fri Oct 27 09:17:23 2017	2	2	0::1	2249.14		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	999			110	2	1	
21622	Fri Oct 27 09:17:32 2017	2	3	2::2	2249.14		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	999			110	3	1	
21622	Fri Oct 27 09:17:41 2017	2	4	0::1	2249.14		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	999			110	4	1	
21622	Fri Oct 27 09:17:50 2017	2	5	301::10	2249.14		0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	30	4		110	5	1	
21622	Fri Oct 27 09:18:10 2017	2	6	276::11	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	70	5		110	6	1	
21622	Fri Oct 27 09:18:29 2017	2	7	266::12	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	60	4		110	7	1	
21622	Fri Oct 27 09:18:48 2017	2	8	292::10	2249.14		0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	29	3		110	8	1	
21622	Fri Oct 27 09:19:05 2017	2	9	456::11	2249.14		0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	35	4		110	9	1	
21622	Fri Oct 27 09:19:23 2017	2	10	0::1	2249.14		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	999			110	10	1	
21622	Fri Oct 27 09:19:57 2017	3	1	284::10	2249.14		0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	60	3		110	11	1	
21622	Fri Oct 27 09:20:15 2017	3	2	258::10	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	70	3		110	12	1	
21622	Fri Oct 27 09:20:34 2017	3	3	279::10	2249.14		1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	30	4		110	13	1	
21622	Fri Oct 27 09:20:54 2017	3	4	406::10	2249.14		1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	35	3		110	14	1	
21622	Fri Oct 27 09:21:12 2017	3	5	317::10	2249.14		0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	70	6		110	15	1	
21622	Fri Oct 27 09:21:30 2017	3	6	268::11	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	74	5		110	16	1	
21622	Fri Oct 27 09:21:47 2017	3	7	0::1	2249.14		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	999			110	17	1	
21622	Fri Oct 27 09:21:56 2017	3	8	348::11	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	77	6		110	18	1	
21622	Fri Oct 27 09:22:16 2017	3	9	301::10	2249.14		0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	71	3		110	19	1	
21622	Fri Oct 27 09:22:33 2017	3	10	319::11	2249.14		1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	34	7		110	20	1	
21622	Fri Oct 27 09:22:52 2017	3	11	337::10	2249.14		0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	74	3		110	21	1	
21622	Fri Oct 27 09:23:11 2017	3	12	317::11	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	73	3		110	22	1	
21622	Fri Oct 27 09:23:30 2017	3	13	319::10	2249.14		1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	30	7		110	23	1	
21622	Fri Oct 27 09:23:48 2017	3	14	334::10	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	74	3		110	24	1	
21622	Fri Oct 27 09:24:05 2017	3	15	331::11	2249.14		0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	71	3		110	25	1	
21622	Fri Oct 27 09:24:24 2017	3	16	529::10	2249.14		0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	33	7		110	26	1	
21622	Fri Oct 27 09:24:43 2017	3	17	365::10	2249.14		1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	31	7		110	27	1	
21622	Fri Oct 27 09:25:03 2017	3	18	311::10	2249.14		1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	30	7		110	28	1	
21622	Fri Oct 27 09:25:23 2017	3	19	400::10	2249.14		0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	75	3		110	29	1	
21622	Fri Oct 27 09:25:43 2017	3	20	525::12	2249.14		1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	33	7		110	30	1	
21622	Fri Oct 27 09:26:01 2017	3	21	536::10	2249.14		1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	41	5		110	31	1	
21622	Fri Oct 27 09:26:20 2017	3	22	450::10	2249.14		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	36	7		110	32	1	
21622	Fri Oct 27 09:26:38 2017	3	23	296::10	2249.14		1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	36	6		110	33	1	
21622	Fri Oct 27 09:26:56 2017	3	24	350::11	2249.14		0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	79	3		110	34	1	
21622	Fri Oct 27 09:27:15 2017	3	25	556::10	2249.14		1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	33	8		110	35	1	
21622	Fri Oct 27 09:27:33 2017	4	1	366::10	2249.14		0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	59	4		110	36	1	
21622	Fri Oct 27 09:27:53 2017	4	2	451::10	2249.14		0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	62	5		110	37	1	
21622	Fri Oct 27 09:28:12 2017	4	3	351::10	2249.14		0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	91	3		110	38	1	
21622	Fri Oct 27 09:28:31 2017	4	4	606::10	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	86	3		110	39	1	
21622	Fri Oct 27 09:28:50 2017	4	5	0::1	2249.14		0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	999			110	40	1	
21622	Fri Oct 27 09:28:59 2017	4	6	333::10	2249.14		0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	60	3		110	41	1	
21622	Fri Oct 27 09:29:19 2017	4	7	593::10	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	85	2		110	42	1	
21622	Fri Oct 27 09:29:38 2017	4	8	421::10	2249.14		0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	62	3		110	43	1	
21622	Fri Oct 27 09:29:57 2017	4	9	507::10	2249.14		0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	56	2		110	44	1	
21622	Fri Oct 27 09:30:15 2017	4	10	334::11	2249.14		0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	42	6		110	45	1	
21622	Fri Oct 27 09:30:33 2017	4	11	269::10	2249.14		1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	36	8		110	46	1	
21622	Fri Oct 27 09:30:52 2017	4	12	352::10	2249.14		1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	34	7		110	47	1	
21622	Fri Oct 27 09:31:11 2017	4	13	332::10	2249.14		0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	80	3		110	48	1	
21622	Fri Oct 27 09:31:29 2017	4	14	303::10	2249.14		0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	87	3		110	49	1	
21622	Fri Oct 27 09:31:47 2017	4	15	275::12	2249.14		1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	30	8		110	50	1	
21622	Fri Oct 27 09:32:07 2017	4	16	447::10	2249.14		0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	71	3		110	51	1	
21622	Fri Oct 27 09:32:25 2017	4	17	460::11	2249.14		0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	83	3		110	52	1	
21622	Fri Oct 27 09:32:45 2017	4	18	383::10	2249.14		0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	49	3		110	53	1	
21622	Fri Oct 27 09:33:05 2017	4	19	454::10	2249.14		0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	42	4		110	54	1	
21622	Fri Oct 27 09:33:22 2017	4	20	325::10	2249.14		0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	59	3		110	55	1	
21622	Fri Oct 27 09:33:40 2017	4	21	335::12	2249.14		0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	54	3		110	56	1	
21622	Fri Oct 27 09:33:57 2017	4	22	308::10	2249.14		0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	89	2		110	57	1	
21622	Fri Oct 27 09:34:16 2017	4	23	448::10	2249.14		0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	37	5		110	58	1	
21622	Fri Oct 27 09:34:34 2017	4	24	376::11	2249.14		0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	44	4		110	59	1	
21622	Fri Oct 27 09:34:51 2017	4	25	270::10	2249.14		0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	58	3		110	60	1	
21622	Fri Oct 27 09:35:09 2017	4	26	281::11	2249.14		0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	34	8		110	61	1	
21622	Fri Oct 27 09:35:28 2017	4	27	323::10	2249.14		0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	37	8		110	62	1	
21622	Fri Oct 27 09:35:47 2017	4	28	599::10	2249.14		0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	48	5		110	63	1	
21622	Fri Oct 27 09:36:04 2017	4	29	318::10	2249.14		0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	84	2		110	64	1	
21622	Fri Oct 27 09:36:24 2017	4	30	456::10	2249.14		0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	46	3		110	65	1	
21622	Fri Oct 27 09:36:41 2017	4	31	502::11	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	83	3		110	66	1	
21622	Fri Oct 27 09:37:01 2017	4	32	324::10	2249.14		0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	49	3		110	67	1	
21622	Fri Oct 27 09:37:20 2017	4	33	301::11	2249.14		1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	35	8		110	68	1	
21622	Fri Oct 27 09:37:38 2017	4	34	0::1	2249.14		0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	999			110	69	1	
21622	Fri Oct 27 09:37:46 2017	4	35	269::10	2249.14		0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	83	3		110	70	1	
21622	Fri Oct 27 09:38:06 2017	4	36	278::12	2249.14		0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	52	2		110	71	1	
21622	Fri Oct 27 09:38:25 2017	4	37	316::10	2249.14		0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	72	2		110	72	1	
21622	Fri Oct 27 09:38:43 2017	4	38	301::10	2249.14		0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	44	3		110	73	1	
21622	Fri Oct 27 09:39:01 2017	4	39	270::10	2249.14		1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	36	8		110	74	1	
21622	Fri Oct 27 09:39:19 2017	4	40	461::10	2249.14		0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	44	3		110	75	1	
21622	Fri Oct 27 09:39:37 2017	4	41	318::10	2249.14		0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	63	2		110	76	1	
21622	Fri Oct 27 09:39:56 2017	4	42	297::10	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	85	2		110	77	1	
21622	Fri Oct 27 09:40:15 2017	4	43	281::10	2249.14		1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	35	8		110	78	1	
21622	Fri Oct 27 09:40:34 2017	4	44	295::10	2249.14		0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	62	2		110	79	1	
21622	Fri Oct 27 09:40:54 2017	4	45	360::10	2249.14		0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	79	2		110	80	1	
21622	Fri Oct 27 09:41:14 2017	4	46	377::10	2249.14		0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	51	2		110	81	1	
21622	Fri Oct 27 09:41:31 2017	4	47	443::10	2249.14		0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	90	2		110	82	1	
21622	Fri Oct 27 09:41:48 2017	4	48	455::10	2249.14		0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	69	2		110	83	1	
21622	Fri Oct 27 09:42:05 2017	4	49	443::10	2249.14		0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	35	6		110	84	1	
21622	Fri Oct 27 09:42:23 2017	4	50	303::10	2249.14		0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	36	5		110	85	1	
21622	Fri Oct 27 09:44:53 2017	5	1	313::10	2249.14		1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	35	8		110	86	1	
21622	Fri Oct 27 09:45:13 2017	5	2	309::11	2249.14		0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	36	8		110	87	1	
21622	Fri Oct 27 09:45:32 2017	5	3	360::10	2249.14		1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	35	8		110	88	1	
21622	Fri Oct 27 09:45:51 2017	5	4	279::10	2249.14		1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	37	8		110	89	1	
21622	Fri Oct 27 09:46:10 2017	5	5	307::10	2249.14		1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	37	8		110	90	1	
21622	Fri Oct 27 09:46:29 2017	5	6	307::10	2249.14		1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	37	8		110	91	1	
21622	Fri Oct 27 09:46:46 2017	6	1	0::1	2249.14		0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	999			110	92	1	
21622	Fri Oct 27 09:46:56 2017	6	2	513::11	2249.14		0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	60	2		110	93	1	
21622	Fri Oct 27 09:47:15 2017	6	3	656::10	2249.14		0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	42	4		110	94	1	
21622	Fri Oct 27 09:47:33 2017	6	4	522::11	2249.14		0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	95	1		110	95	1	
21622	Fri Oct 27 09:47:51 2017	6	5	449::11	2249.14		0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	49	2		110	96	1	
21622	Fri Oct 27 09:48:09 2017	6	6	311::10	2249.14		0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	71	2		110	97	1	
21622	Fri Oct 27 09:48:28 2017	6	7	512::10	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	95	1		110	98	1	
21622	Fri Oct 27 09:48:46 2017	6	8	438::10	2249.14		1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	30	9		110	99	1	
21622	Fri Oct 27 09:49:05 2017	6	9	334::10	2249.14		0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	51	2		110	100	1	
21622	Fri Oct 27 09:49:24 2017	6	10	640::10	2249.14		0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	49	3		110	101	1	
21622	Fri Oct 27 09:49:42 2017	6	11	341::11	2249.14		1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	39	7		110	102	1	
21622	Fri Oct 27 09:50:00 2017	6	12	358::10	2249.14		0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	61	2		110	103	1	
21622	Fri Oct 27 09:50:18 2017	6	13	356::10	2249.14		0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	71	2		110	104	1	
21622	Fri Oct 27 09:50:37 2017	6	14	0::1	2249.14		0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	999			110	105	1	
21622	Fri Oct 27 09:50:45 2017	6	15	327::10	2249.14		0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	91	1		110	106	1	
21622	Fri Oct 27 09:51:03 2017	6	16	284::10	2249.14		0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	50	2		110	107	1	
21622	Fri Oct 27 09:51:23 2017	6	17	631::10	2249.14		0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	55	2		110	108	1	
21622	Fri Oct 27 09:51:41 2017	6	18	354::10	2249.14		0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	39	6		110	109	1	
21622	Fri Oct 27 09:52:00 2017	6	19	469::10	2249.14		0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	40	4		110	110	1	
21622	Fri Oct 27 09:52:18 2017	6	20	402::10	2249.14		0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	90	1		110	111	1	
21622	Fri Oct 27 09:52:36 2017	6	21	341::11	2249.14		0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	57	2		110	112	1	
21622	Fri Oct 27 09:52:55 2017	6	22	299::10	2249.14		0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	31	10		110	113	1	
21622	Fri Oct 27 09:53:14 2017	6	23	646::12	2249.14		0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	91	1		110	114	1	
21622	Fri Oct 27 09:53:34 2017	6	24	289::11	2249.14		0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	40	5		110	115	1	
21622	Fri Oct 27 09:53:52 2017	6	25	629::10	2249.14		1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	31	9		110	116	1	
21622	Fri Oct 27 09:54:09 2017	6	26	657::11	2249.14		0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	49	2		110	117	1	
21622	Fri Oct 27 09:54:27 2017	6	27	306::10	2249.14		0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	81	1		110	118	1	
21622	Fri Oct 27 09:54:46 2017	6	28	435::11	2249.14		0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	93	1		110	119	1	
21622	Fri Oct 27 09:55:04 2017	6	29	522::10	2249.14		0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	60	1		110	120	1	
21622	Fri Oct 27 09:55:24 2017	6	30	318::10	2249.14		0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	79	2		110	121	1	
21622	Fri Oct 27 09:55:42 2017	6	31	485::10	2249.14		0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	81	1		110	122	1	
21622	Fri Oct 27 09:56:01 2017	6	32	340::10	2249.14		0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	70	1		110	123	1	
21622	Fri Oct 27 09:56:20 2017	6	33	369::10	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	92	1		110	124	1	
21622	Fri Oct 27 09:56:37 2017	6	34	355::10	2249.14		1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	33	9		110	125	1	
21622	Fri Oct 27 09:56:54 2017	6	35	302::11	2249.14		0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	60	1		110	126	1	
21622	Fri Oct 27 09:57:13 2017	6	36	427::10	2249.14		0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	46	2		110	127	1	
21622	Fri Oct 27 09:57:31 2017	6	37	245::11	2249.14		0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	59	1		110	128	1	
21622	Fri Oct 27 09:57:49 2017	6	38	462::10	2249.14		0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	63	1		110	129	1	
21622	Fri Oct 27 09:58:08 2017	6	39	291::10	2249.14		0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	35	9		110	130	1	
21622	Fri Oct 27 09:58:27 2017	6	40	474::11	2249.14		0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	97	1		110	131	1	
21622	Fri Oct 27 09:58:46 2017	6	41	474::10	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	100	1		110	132	1	
21622	Fri Oct 27 09:59:04 2017	6	42	390::10	2249.14		0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	70	1		110	133	1	
21622	Fri Oct 27 09:59:22 2017	6	43	618::10	2249.14		0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	44	1		110	134	1	
21622	Fri Oct 27 09:59:40 2017	6	44	519::10	2249.14		0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	91	1		110	135	1	
21622	Fri Oct 27 09:59:59 2017	6	45	358::12	2249.14		1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	33	8		110	136	1	
21622	Fri Oct 27 10:00:18 2017	6	46	507::10	2249.14		0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	97	1		110	137	1	
21622	Fri Oct 27 10:00:38 2017	6	47	507::11	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	96	1		110	138	1	
