CLIENT;TRIALN;KEY;MEAN;MAXGENT;MAXV;AMPLITUDO;LATENCYMAX;LATNCY3XLR;LATNCY3XRL;LATNCY3XDIF;DATE
'18/06/2018 8:47:35';0001,000;'ACT:PROB';244082,548;0655,000;4613105,000;4369022,452;-0550,000;0078,000;0077,000;9999,000;1806180848,000
'18/06/2018 8:47:35';0002,000;'ACT:PROB';420107,766;0620,000;3534323,000;3114215,234;-0550,000;0051,000;0050,000;0039,000;1806180848,000
'18/06/2018 8:47:35';0003,000;'ACT:PROB';246773,297;0683,000;5038381,000;4791607,703;-0550,000;9999,000;9999,000;9999,000;1806180848,000
'18/06/2018 8:47:35';0004,000;'ACT:PROB';343609,890;0608,000;1557256,000;1213646,110;-0550,000;0047,000;0046,000;0032,000;1806180848,000
'18/06/2018 8:47:35';0005,000;'ACT:PROB';277955,875;0610,000;3240958,000;2963002,125;-0550,000;0042,000;0041,000;0034,000;1806180848,000
'18/06/2018 8:47:35';0006,000;'ACT:PROB';1474032,167;0604,000;3956859,000;2482826,833;-0550,000;9999,000;9999,000;0031,000;1806180848,000
'18/06/2018 8:47:35';0007,000;'ACT:PROB';276077,275;0602,000;1302163,000;1026085,725;-0550,000;0041,000;0040,000;0028,000;1806180848,000
'18/06/2018 8:47:35';0008,000;'ACT:PROB';299711,798;0677,000;1830238,000;1530526,202;-0550,000;9999,000;9999,000;9999,000;1806180848,000
'18/06/2018 8:47:35';0009,000;'ACT:PROB';601721,918;0621,000;2920754,000;2319032,082;-0550,000;0059,000;0058,000;0045,000;1806180848,000
'18/06/2018 8:47:35';0010,000;'ACT:PROB';255025,436;0612,000;2438166,000;2183140,564;-0550,000;0043,000;0042,000;0035,000;1806180848,000
'18/06/2018 8:47:35';0011,000;'ACT:PROB';329592,967;0662,000;5163728,000;4834135,033;-0550,000;9999,000;9999,000;0042,000;1806180848,000
'18/06/2018 8:47:35';0012,000;'ACT:PROB';427726,143;0740,000;3730616,000;3302889,857;-0550,000;9999,000;9999,000;9999,000;1806180848,000
'18/06/2018 8:47:35';0013,000;'ACT:PROB';350450,289;0720,000;4246907,000;3896456,711;-0550,000;9999,000;9999,000;9999,000;1806180848,000
'18/06/2018 8:47:35';0014,000;'ACT:PROB';460202,235;0697,000;4139512,000;3679309,765;-0550,000;0070,000;0069,000;0055,000;1806180848,000
'18/06/2018 8:47:35';0015,000;'ACT:PROB';429365,844;0704,000;3395506,000;2966140,156;-0550,000;9999,000;9999,000;0061,000;1806180848,000
'18/06/2018 8:47:35';0016,000;'ACT:PROB';462267,394;0677,000;3770912,000;3308644,606;-0550,000;9999,000;9999,000;9999,000;1806180848,000
'18/06/2018 8:47:35';0017,000;'ACT:PROB';644125,354;0662,000;7779835,000;7135709,646;-0550,000;0073,000;0072,000;0059,000;1806180848,000
'18/06/2018 8:47:35';0018,000;'ACT:PROB';502922,625;0686,000;5093213,000;4590290,375;-0550,000;9999,000;9999,000;0033,000;1806180848,000
'18/06/2018 8:47:35';0019,000;'ACT:PROB';513240,807;0667,000;2790835,000;2277594,193;-0550,000;9999,000;9999,000;9999,000;1806180848,000
'18/06/2018 8:47:35';0020,000;'ACT:PROB';760038,164;0634,000;2925090,000;2165051,836;-0550,000;0075,000;0074,000;0060,000;1806180848,000
'18/06/2018 8:47:35';0021,000;'ACT:PROB';982504,372;0706,000;5521158,000;4538653,628;-0550,000;9999,000;9999,000;9999,000;1806180848,000
'18/06/2018 8:47:35';0022,000;'ACT:PROB';657232,815;0716,000;4944196,000;4286963,185;-0550,000;9999,000;9999,000;9999,000;1806180848,000
'18/06/2018 8:47:35';0023,000;'ACT:PROB';545129,768;0647,000;3610595,000;3065465,232;-0550,000;0069,000;0068,000;0051,000;1806180848,000
'18/06/2018 8:47:35';0024,000;'ACT:PROB';665976,366;0662,000;5934446,000;5268469,634;-0550,000;0074,000;0073,000;0064,000;1806180848,000
'18/06/2018 8:47:35';0025,000;'ACT:PROB';677962,676;0671,000;5331103,000;4653140,324;-0550,000;9999,000;9999,000;0051,000;1806180848,000
'18/06/2018 8:47:35';0026,000;'ACT:PROB';451478,222;0695,000;1518720,000;1067241,778;-0550,000;9999,000;9999,000;0070,000;1806180848,000
'18/06/2018 8:47:35';0027,000;'ACT:PROB';599965,533;0670,000;3242207,000;2642241,467;-0550,000;9999,000;9999,000;9999,000;1806180848,000
'18/06/2018 8:47:35';0028,000;'ACT:PROB';656296,679;0654,000;3168292,000;2511995,321;-0550,000;0075,000;0074,000;0058,000;1806180848,000
'18/06/2018 8:47:35';0029,000;'ACT:PROB';630878,009;0707,000;2505316,000;1874437,991;-0550,000;9999,000;9999,000;0033,000;1806180848,000
'18/06/2018 8:47:35';0030,000;'ACT:PROB';631225,119;0646,000;2324504,000;1693278,881;-0550,000;0075,000;0074,000;0055,000;1806180848,000
'18/06/2018 8:47:35';0031,000;'ACT:PROB';543601,405;0671,000;1367548,000;823946,595;-0550,000;9999,000;9999,000;9999,000;1806180848,000
'18/06/2018 8:47:35';0032,000;'ACT:PROB';1224378,637;0660,000;5016758,000;3792379,363;-0550,000;9999,000;9999,000;0025,000;1806180848,000
