CLIENT;TRIALN;KEY;MEAN;MAXGENT;MAXV;AMPLITUDO;LATENCYMAX;LATNCY3XLR;LATNCY3XRL;LATNCY3XDIF;DATE
'11/01/2018 12:06:41';0001,000;'ACT:PROB';1124774,702;0720,000;3857054,000;2732279,298;-0550,000;9999,000;9999,000;0021,000;1801111208,000
'11/01/2018 12:06:41';0002,000;'ACT:PROB';1022228,628;0697,000;2094400,000;1072171,372;-0550,000;9999,000;9999,000;0049,000;1801111208,000
'11/01/2018 12:06:41';0003,000;'ACT:PROB';1204343,307;0607,000;3799632,000;2595288,693;-0550,000;0049,000;9999,000;0022,000;1801111208,000
'11/01/2018 12:06:41';0004,000;'ACT:PROB';1081104,077;0616,000;2685373,000;1604268,923;-0550,000;9999,000;9999,000;0030,000;1801111208,000
'11/01/2018 12:06:41';0005,000;'ACT:PROB';1095906,577;0629,000;1414560,000;318653,423;-0550,000;9999,000;9999,000;0057,000;1801111208,000
'11/01/2018 12:06:41';0006,000;'ACT:PROB';1301390,619;0658,000;5177325,000;3875934,381;-0550,000;9999,000;9999,000;0065,000;1801111208,000
'11/01/2018 12:06:41';0007,000;'ACT:PROB';1448606,696;0681,000;3690818,000;2242211,304;-0550,000;9999,000;9999,000;9999,000;1801111208,000
'11/01/2018 12:06:41';0008,000;'ACT:PROB';1430636,595;0658,000;5519284,000;4088647,405;-0550,000;9999,000;9999,000;0032,000;1801111208,000
'11/01/2018 12:06:41';0009,000;'ACT:PROB';1379190,381;0646,000;3488223,000;2109032,619;-0550,000;9999,000;9999,000;0061,000;1801111208,000
'11/01/2018 12:06:41';0010,000;'ACT:PROB';1537139,583;0610,000;3288401,000;1751261,417;-0550,000;9999,000;9999,000;0030,000;1801111208,000
'11/01/2018 12:06:41';0011,000;'ACT:PROB';1389297,851;0669,000;5198165,000;3808867,149;-0550,000;9999,000;9999,000;0054,000;1801111208,000
'11/01/2018 12:06:41';0012,000;'ACT:PROB';1282345,786;0670,000;2062214,000;779868,214;-0550,000;9999,000;9999,000;9999,000;1801111208,000
'11/01/2018 12:06:41';0013,000;'ACT:PROB';1226257,673;0664,000;2695476,000;1469218,327;-0550,000;9999,000;9999,000;9999,000;1801111208,000
'11/01/2018 12:06:41';0014,000;'ACT:PROB';1449296,863;0680,000;3455687,000;2006390,137;-0550,000;9999,000;9999,000;9999,000;1801111208,000
'11/01/2018 12:06:41';0015,000;'ACT:PROB';1241330,792;0623,000;1368640,000;127309,208;-0550,000;9999,000;9999,000;0051,000;1801111208,000
'11/01/2018 12:06:41';0016,000;'ACT:PROB';1268696,952;0673,000;2343142,000;1074445,048;-0550,000;9999,000;9999,000;0069,000;1801111208,000
'11/01/2018 12:06:41';0017,000;'ACT:PROB';1707438,970;0673,000;1959826,000;252387,030;-0550,000;9999,000;9999,000;0022,000;1801111208,000
'11/01/2018 12:06:41';0018,000;'ACT:PROB';1234746,030;0682,000;3341335,000;2106588,970;-0550,000;9999,000;9999,000;0059,000;1801111208,000
'11/01/2018 12:06:41';0019,000;'ACT:PROB';1348378,804;0657,000;2546028,000;1197649,196;-0550,000;9999,000;9999,000;9999,000;1801111208,000
'11/01/2018 12:06:41';0020,000;'ACT:PROB';1131215,813;0650,000;4058267,000;2927051,188;-0550,000;9999,000;9999,000;9999,000;1801111208,000
'11/01/2018 12:06:41';0021,000;'ACT:PROB';1158875,637;0736,000;2561918,000;1403042,363;-0550,000;9999,000;9999,000;9999,000;1801111208,000
'11/01/2018 12:06:41';0022,000;'ACT:PROB';1310903,292;0735,000;2838649,000;1527745,708;-0550,000;9999,000;9999,000;0045,000;1801111208,000
'11/01/2018 12:06:41';0023,000;'ACT:PROB';1327654,685;0644,000;1755534,000;427879,315;-0550,000;9999,000;9999,000;9999,000;1801111208,000
'11/01/2018 12:06:41';0024,000;'ACT:PROB';1272396,869;0733,000;2692484,000;1420087,131;-0550,000;9999,000;9999,000;0028,000;1801111208,000
'11/01/2018 12:06:41';0025,000;'ACT:PROB';1323036,905;0672,000;1940618,000;617581,095;-0550,000;9999,000;9999,000;0039,000;1801111208,000
'11/01/2018 12:06:41';0026,000;'ACT:PROB';1193382,470;0648,000;2079526,000;886143,530;-0550,000;9999,000;9999,000;9999,000;1801111208,000
'11/01/2018 12:06:41';0027,000;'ACT:PROB';1157591,054;0705,000;1353929,000;196337,946;-0550,000;9999,000;9999,000;0025,000;1801111208,000
'11/01/2018 12:06:41';0028,000;'ACT:PROB';1129477,631;0713,000;1588999,000;459521,369;-0550,000;9999,000;9999,000;0042,000;1801111208,000
'11/01/2018 12:06:41';0029,000;'ACT:PROB';1314330,744;0667,000;1455118,000;140787,256;-0550,000;9999,000;9999,000;0047,000;1801111208,000
'11/01/2018 12:06:41';0030,000;'ACT:PROB';1442486,929;0581,000;1573783,000;131296,071;-0550,000;9999,000;9999,000;9999,000;1801111208,000
'11/01/2018 12:06:41';0031,000;'ACT:PROB';1040128,116;0649,000;1938793,000;898664,884;-0550,000;9999,000;9999,000;9999,000;1801111208,000
'11/01/2018 12:06:41';0032,000;'ACT:PROB';1413676,893;0576,000;1532237,000;118560,107;-0550,000;9999,000;9999,000;9999,000;1801111208,000
'11/01/2018 12:06:41';0033,000;'ACT:PROB';1648335,060;0587,000;1812286,000;163950,940;-0550,000;9999,000;9999,000;9999,000;1801111208,000
'11/01/2018 12:06:41';0034,000;'ACT:PROB';1180818,905;0661,000;2300659,000;1119840,095;-0550,000;9999,000;9999,000;0066,000;1801111208,000
'11/01/2018 12:06:41';0035,000;'ACT:PROB';1043019,348;0646,000;2031464,000;988444,652;-0550,000;9999,000;9999,000;0043,000;1801111208,000
'11/01/2018 12:06:41';0036,000;'ACT:PROB';1033003,518;0685,000;3447740,000;2414736,482;-0550,000;9999,000;9999,000;0027,000;1801111208,000
'11/01/2018 12:06:41';0037,000;'ACT:PROB';1551098,750;0673,000;3208103,000;1657004,250;-0550,000;9999,000;9999,000;0025,000;1801111208,000
