CLIENT;TRIALN;KEY;MEAN;MAXGENT;MAXV;AMPLITUDO;LATENCYMAX;LATNCY3XLR;LATNCY3XRL;LATNCY3XDIF;DATE
'11/01/2018 10:57:57';0048,000;'ACT:PROB';715931,601;0677,000;7635249,000;6919317,399;-0550,000;9999,000;9999,000;0052,000;1801111058,000
'11/01/2018 10:57:57';0049,000;'ACT:PROB';673333,461;0709,000;7718832,000;7045498,539;-0550,000;9999,000;9999,000;9999,000;1801111058,000
'11/01/2018 10:57:57';0050,000;'ACT:PROB';429975,625;0678,000;6824871,000;6394895,375;-0550,000;9999,000;9999,000;0026,000;1801111058,000
'11/01/2018 10:57:57';0051,000;'ACT:PROB';436946,028;0648,000;5555105,000;5118158,972;-0550,000;0073,000;0072,000;9999,000;1801111058,000
'11/01/2018 10:57:57';0052,000;'ACT:PROB';388537,780;0666,000;6027352,000;5638814,220;-0550,000;9999,000;9999,000;9999,000;1801111058,000
'11/01/2018 10:57:57';0053,000;'ACT:PROB';459188,519;0717,000;3450173,000;2990984,481;-0550,000;9999,000;9999,000;9999,000;1801111058,000
'11/01/2018 10:57:57';0054,000;'ACT:PROB';393826,046;0643,000;9889938,000;9496111,954;-0550,000;0070,000;0069,000;0064,000;1801111058,000
'11/01/2018 10:57:57';0055,000;'ACT:PROB';369884,385;0656,000;7918038,000;7548153,615;-0550,000;0072,000;0071,000;9999,000;1801111058,000
'11/01/2018 10:57:57';0056,000;'ACT:PROB';389231,952;0696,000;8180200,000;7790968,048;-0550,000;9999,000;9999,000;0068,000;1801111058,000
'11/01/2018 10:57:57';0057,000;'ACT:PROB';463986,725;0645,000;8833327,000;8369340,275;-0550,000;0065,000;0064,000;0057,000;1801111058,000
'11/01/2018 10:57:57';0058,000;'ACT:PROB';532607,347;0650,000;9300277,000;8767669,653;-0550,000;0076,000;0075,000;9999,000;1801111058,000
'11/01/2018 10:57:57';0059,000;'ACT:PROB';473494,894;0674,000;8438966,000;7965471,106;-0550,000;9999,000;9999,000;0062,000;1801111058,000
'11/01/2018 10:57:57';0060,000;'ACT:PROB';466233,376;0684,000;6273235,000;5807001,624;-0550,000;9999,000;9999,000;0035,000;1801111058,000
'11/01/2018 10:57:57';0061,000;'ACT:PROB';614762,637;0632,000;7374468,000;6759705,363;-0550,000;0063,000;0062,000;0055,000;1801111058,000
'11/01/2018 10:57:57';0062,000;'ACT:PROB';543733,936;0643,000;9192756,000;8649022,064;-0550,000;0071,000;0070,000;0064,000;1801111058,000
'11/01/2018 10:57:57';0063,000;'ACT:PROB';793503,872;0687,000;6180209,000;5386705,128;-0550,000;9999,000;9999,000;9999,000;1801111058,000
'11/01/2018 10:57:57';0064,000;'ACT:PROB';542247,865;0666,000;6060584,000;5518336,135;-0550,000;9999,000;9999,000;0067,000;1801111058,000
'11/01/2018 10:57:57';0065,000;'ACT:PROB';525059,915;0680,000;8768101,000;8243041,085;-0550,000;9999,000;9999,000;0054,000;1801111058,000
'11/01/2018 10:57:57';0066,000;'ACT:PROB';598014,920;0655,000;6220313,000;5622298,080;-0550,000;9999,000;9999,000;9999,000;1801111058,000
'11/01/2018 10:57:57';0067,000;'ACT:PROB';519149,996;0646,000;7609955,000;7090805,004;-0550,000;0073,000;0072,000;9999,000;1801111058,000
'11/01/2018 10:57:57';0068,000;'ACT:PROB';437090,411;0671,000;10278230,000;9841139,589;-0550,000;9999,000;9999,000;0029,000;1801111058,000
'11/01/2018 10:57:57';0069,000;'ACT:PROB';545494,991;0683,000;6327921,000;5782426,009;-0550,000;9999,000;9999,000;9999,000;1801111058,000
'11/01/2018 10:57:57';0070,000;'ACT:PROB';699628,366;0683,000;7043264,000;6343635,634;-0550,000;9999,000;9999,000;0033,000;1801111058,000
'11/01/2018 10:57:57';0071,000;'ACT:PROB';559604,074;0623,000;4133033,000;3573428,926;-0550,000;0051,000;0050,000;0026,000;1801111058,000
'11/01/2018 10:57:57';0072,000;'ACT:PROB';1043438,571;0667,000;5776110,000;4732671,429;-0550,000;9999,000;9999,000;9999,000;1801111058,000
'11/01/2018 10:57:57';0073,000;'ACT:PROB';524443,589;0650,000;8091907,000;7567463,411;-0550,000;0079,000;0078,000;9999,000;1801111058,000
'11/01/2018 10:57:57';0074,000;'ACT:PROB';508365,338;0668,000;8980778,000;8472412,662;-0550,000;9999,000;9999,000;0065,000;1801111058,000
'11/01/2018 10:57:57';0075,000;'ACT:PROB';542447,551;0644,000;6471351,000;5928903,449;-0550,000;0068,000;0067,000;9999,000;1801111058,000
'11/01/2018 10:57:57';0076,000;'ACT:PROB';459520,762;0672,000;7148444,000;6688923,238;-0550,000;9999,000;9999,000;0048,000;1801111058,000
'11/01/2018 10:57:57';0077,000;'ACT:PROB';561252,321;0681,000;6285816,000;5724563,679;-0550,000;9999,000;9999,000;9999,000;1801111058,000
'11/01/2018 10:57:57';0078,000;'ACT:PROB';455213,878;0648,000;7604535,000;7149321,122;-0550,000;0077,000;0076,000;9999,000;1801111058,000
'11/01/2018 10:57:57';0079,000;'ACT:PROB';492248,376;0657,000;3756992,000;3264743,624;-0550,000;9999,000;9999,000;9999,000;1801111058,000
'11/01/2018 10:57:57';0080,000;'ACT:PROB';576001,817;0645,000;5199429,000;4623427,183;-0550,000;0075,000;0074,000;9999,000;1801111058,000
'11/01/2018 10:57:57';0081,000;'ACT:PROB';474717,888;0680,000;8657049,000;8182331,112;-0550,000;9999,000;9999,000;0053,000;1801111058,000
'11/01/2018 10:57:57';0082,000;'ACT:PROB';468953,007;0677,000;7867778,000;7398824,993;-0550,000;9999,000;9999,000;0057,000;1801111058,000
'11/01/2018 10:57:57';0083,000;'ACT:PROB';528337,240;0660,000;6823575,000;6295237,760;-0550,000;9999,000;9999,000;9999,000;1801111058,000
'11/01/2018 10:57:57';0084,000;'ACT:PROB';647237,241;0651,000;9288633,000;8641395,759;-0550,000;0079,000;0078,000;9999,000;1801111058,000
'11/01/2018 10:57:57';0085,000;'ACT:PROB';446973,385;0669,000;6243385,000;5796411,615;-0550,000;9999,000;9999,000;0050,000;1801111058,000
'11/01/2018 10:57:57';0086,000;'ACT:PROB';523370,499;0674,000;4518038,000;3994667,501;-0550,000;9999,000;9999,000;0050,000;1801111058,000
'11/01/2018 10:57:57';0087,000;'ACT:PROB';522790,658;0679,000;5930480,000;5407689,342;-0550,000;9999,000;9999,000;9999,000;1801111058,000
'11/01/2018 10:57:57';0088,000;'ACT:PROB';409575,296;0657,000;6790612,000;6381036,704;-0550,000;9999,000;9999,000;9999,000;1801111058,000
'11/01/2018 10:57:57';0089,000;'ACT:PROB';541683,165;0662,000;11969270,000;11427586,835;-0550,000;9999,000;9999,000;9999,000;1801111058,000
'11/01/2018 10:57:57';0090,000;'ACT:PROB';442136,549;0613,000;1101934,000;659797,451;-0550,000;9999,000;9999,000;0035,000;1801111058,000
'11/01/2018 10:57:57';0091,000;'ACT:PROB';459224,266;0615,000;3774559,000;3315334,734;-0550,000;0042,000;0041,000;0024,000;1801111058,000
'11/01/2018 10:57:57';0092,000;'ACT:PROB';416261,460;0670,000;3985216,000;3568954,540;-0550,000;9999,000;9999,000;9999,000;1801111058,000
'11/01/2018 10:57:57';0093,000;'ACT:PROB';401588,999;0655,000;11009190,000;10607601,001;-0550,000;0078,000;0077,000;9999,000;1801111058,000
'11/01/2018 10:57:57';0094,000;'ACT:PROB';477383,793;0668,000;6383151,000;5905767,207;-0550,000;9999,000;9999,000;0064,000;1801111058,000
'11/01/2018 10:57:57';0095,000;'ACT:PROB';530649,835;0635,000;8453557,000;7922907,165;-0550,000;0064,000;0063,000;0057,000;1801111058,000
'11/01/2018 10:57:57';0096,000;'ACT:PROB';466007,308;0671,000;3826957,000;3360949,692;-0550,000;9999,000;9999,000;9999,000;1801111058,000
'11/01/2018 10:57:57';0097,000;'ACT:PROB';509984,051;0635,000;7739461,000;7229476,949;-0550,000;0063,000;0062,000;0055,000;1801111058,000
'11/01/2018 10:57:57';0098,000;'ACT:PROB';378797,399;0678,000;5134881,000;4756083,601;-0550,000;9999,000;9999,000;0061,000;1801111058,000
'11/01/2018 10:57:57';0099,000;'ACT:PROB';435621,140;0651,000;10039270,000;9603648,860;-0550,000;9999,000;9999,000;9999,000;1801111058,000
'11/01/2018 10:57:57';0100,000;'ACT:PROB';436472,930;0659,000;5169470,000;4732997,070;-0550,000;9999,000;9999,000;9999,000;1801111058,000
'11/01/2018 10:57:57';0101,000;'ACT:PROB';423605,080;0711,000;6346838,000;5923232,920;-0550,000;9999,000;9999,000;0046,000;1801111058,000
