version	timestamp	block number	trial number	lost msec	free VRAM	trial contents	US	Startle_Circle	Startle_ITI	C4	C5	C6	C7	C8	C9	C10	No_Startle	Generalization_Block	No_US	Size	US_expect	US_Intensity	Total_trial_nr	
21622	Tue Nov 28 18:20:45 2017	2	1	158::40	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	999	5	170	1	
21622	Tue Nov 28 18:21:03 2017	2	2	219::12	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	80	5	170	2	
21622	Tue Nov 28 18:21:21 2017	2	3	211::10	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	79	3	170	3	
21622	Tue Nov 28 18:21:40 2017	2	4	242::10	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	80	1	170	4	
21622	Tue Nov 28 18:21:59 2017	2	5	284::10	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	80	1	170	5	
21622	Tue Nov 28 18:22:18 2017	2	6	2::2	2253.59		0	0	1	0	0	0	0	0	0	0	0	0	1	999		170	6	
21622	Tue Nov 28 18:22:28 2017	2	7	253::12	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	70	1	170	7	
21622	Tue Nov 28 18:22:45 2017	2	8	0::1	2253.59		0	0	1	0	0	0	0	0	0	0	0	0	1	999		170	8	
21622	Tue Nov 28 18:22:52 2017	2	9	0::1	2253.59		0	0	1	0	0	0	0	0	0	0	0	0	1	999		170	9	
21622	Tue Nov 28 18:23:00 2017	2	10	0::1	2253.59		0	0	1	0	0	0	0	0	0	0	0	0	1	999		170	10	
21622	Tue Nov 28 18:23:18 2017	3	1	261::10	2253.59		1	0	0	0	0	0	1	0	0	0	1	0	0	80	1	170	11	
21622	Tue Nov 28 18:23:36 2017	3	2	257::10	2253.59		1	1	0	0	0	0	1	0	0	0	0	0	0	81	6	170	12	
21622	Tue Nov 28 18:23:54 2017	3	3	465::10	2253.59		0	0	0	0	0	0	1	0	0	0	1	0	1	80	10	170	13	
21622	Tue Nov 28 18:24:13 2017	3	4	255::10	2253.59		1	1	0	0	0	0	1	0	0	0	0	0	0	80	5	170	14	
21622	Tue Nov 28 18:24:32 2017	3	5	238::11	2253.59		0	0	0	0	0	0	1	0	0	0	1	0	1	80	8	170	15	
21622	Tue Nov 28 18:24:51 2017	3	6	237::10	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	80	8	170	16	
21622	Tue Nov 28 18:25:10 2017	3	7	317::11	2253.59		1	0	0	0	0	0	1	0	0	0	1	0	0	80	6	170	17	
21622	Tue Nov 28 18:25:29 2017	3	8	309::10	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	80	10	170	18	
21622	Tue Nov 28 18:25:47 2017	3	9	0::1	2253.59		0	0	1	0	0	0	0	0	0	0	0	0	1	999		170	19	
21622	Tue Nov 28 18:25:56 2017	3	10	307::10	2253.59		1	0	0	0	0	0	1	0	0	0	1	0	0	81	8	170	20	
21622	Tue Nov 28 18:26:14 2017	3	11	484::11	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	89	9	170	21	
21622	Tue Nov 28 18:26:34 2017	3	12	341::10	2253.59		0	0	0	0	0	0	1	0	0	0	1	0	1	80	9	170	22	
21622	Tue Nov 28 18:26:53 2017	3	13	530::10	2253.59		1	1	0	0	0	0	1	0	0	0	0	0	0	100	5	170	23	
21622	Tue Nov 28 18:27:12 2017	3	14	254::10	2253.59		1	0	0	0	0	0	1	0	0	0	1	0	0	90	9	170	24	
21622	Tue Nov 28 18:27:31 2017	3	15	286::10	2253.59		0	0	0	0	0	0	1	0	0	0	1	0	1	91	8	170	25	
21622	Tue Nov 28 18:27:49 2017	4	1	275::10	2253.59		0	0	0	0	0	0	0	0	0	1	1	1	1	120	7	170	26	
21622	Tue Nov 28 18:28:08 2017	4	2	239::11	2253.59		0	1	0	0	0	0	1	0	0	0	0	1	1	81	5	170	27	
21622	Tue Nov 28 18:28:26 2017	4	3	254::10	2253.59		1	0	0	0	0	0	1	0	0	0	1	1	0	82	4	170	28	
21622	Tue Nov 28 18:28:44 2017	4	4	304::10	2253.59		0	1	0	0	0	0	0	1	0	0	0	1	1	100	7	170	29	
21622	Tue Nov 28 18:29:04 2017	4	5	451::10	2253.59		0	0	0	0	0	0	1	0	0	0	1	1	1	80	8	170	30	
21622	Tue Nov 28 18:29:24 2017	4	6	530::10	2253.59		1	1	0	0	0	0	1	0	0	0	0	1	0	84	6	170	31	
21622	Tue Nov 28 18:29:41 2017	4	7	564::11	2253.59		0	0	0	0	0	0	0	1	0	0	1	1	1	101	8	170	32	
21622	Tue Nov 28 18:29:59 2017	4	8	543::11	2253.59		0	1	0	0	1	0	0	0	0	0	0	1	1	60	8	170	33	
21622	Tue Nov 28 18:30:18 2017	4	9	340::11	2253.59		1	0	0	0	0	0	1	0	0	0	1	1	0	81	5	170	34	
21622	Tue Nov 28 18:30:38 2017	4	10	294::10	2253.59		0	1	0	0	0	0	1	0	0	0	0	1	1	80	7	170	35	
21622	Tue Nov 28 18:30:56 2017	4	11	255::10	2253.59		0	0	0	0	0	0	0	0	0	1	1	1	1	121	8	170	36	
21622	Tue Nov 28 18:31:16 2017	4	12	302::12	2253.59		1	1	0	0	0	0	1	0	0	0	0	1	0	80	8	170	37	
21622	Tue Nov 28 18:31:33 2017	4	13	316::10	2253.59		0	0	0	0	0	0	0	0	1	0	1	1	1	99	9	170	38	
21622	Tue Nov 28 18:31:53 2017	4	14	0::1	2253.59		0	0	1	0	0	0	0	0	0	0	0	1	1	999		170	39	
21622	Tue Nov 28 18:32:02 2017	4	15	472::10	2253.59		0	1	0	0	1	0	0	0	0	0	0	1	1	50	4	170	40	
21622	Tue Nov 28 18:32:22 2017	4	16	253::10	2253.59		0	0	0	0	0	0	1	0	0	0	1	1	1	80	7	170	41	
21622	Tue Nov 28 18:32:40 2017	4	17	362::12	2253.59		0	1	0	1	0	0	0	0	0	0	0	1	1	49	2	170	42	
21622	Tue Nov 28 18:32:58 2017	4	18	332::10	2253.59		1	0	0	0	0	0	1	0	0	0	1	1	0	90	4	170	43	
21622	Tue Nov 28 18:33:16 2017	4	19	353::10	2253.59		0	1	0	0	0	0	0	0	0	1	0	1	1	120	4	170	44	
21622	Tue Nov 28 18:33:34 2017	4	20	258::10	2253.59		0	0	0	0	0	0	1	0	0	0	1	1	1	80	5	170	45	
21622	Tue Nov 28 18:33:51 2017	4	21	0::1	2253.59		0	0	1	0	0	0	0	0	0	0	0	1	1	999		170	46	
21622	Tue Nov 28 18:33:59 2017	4	22	305::10	2253.59		0	0	0	1	0	0	0	0	0	0	1	1	1	51	3	170	47	
21622	Tue Nov 28 18:34:16 2017	4	23	439::12	2253.59		0	1	0	0	0	0	0	0	1	0	0	1	1	120	4	170	48	
21622	Tue Nov 28 18:34:36 2017	4	24	312::10	2253.59		0	0	0	0	1	0	0	0	0	0	1	1	1	59	3	170	49	
21622	Tue Nov 28 18:34:56 2017	4	25	346::10	2253.59		0	1	0	0	0	0	0	1	0	0	0	1	1	100	4	170	50	
21622	Tue Nov 28 18:35:14 2017	4	26	339::10	2253.59		0	0	0	0	0	1	0	0	0	0	1	1	1	80	8	170	51	
21622	Tue Nov 28 18:35:34 2017	4	27	625::10	2253.59		0	1	0	0	0	0	0	0	1	0	0	1	1	109	4	170	52	
21622	Tue Nov 28 18:35:53 2017	4	28	332::10	2253.59		0	0	0	0	1	0	0	0	0	0	1	1	1	70	4	170	53	
21622	Tue Nov 28 18:36:11 2017	4	29	250::10	2253.59		0	1	0	0	0	0	0	0	0	1	0	1	1	120	3	170	54	
21622	Tue Nov 28 18:36:31 2017	4	30	624::10	2253.59		0	0	0	0	0	0	1	0	0	0	1	1	1	90	6	170	55	
21622	Tue Nov 28 18:36:50 2017	4	31	304::10	2253.59		0	1	0	1	0	0	0	0	0	0	0	1	1	69	2	170	56	
21622	Tue Nov 28 18:37:08 2017	4	32	302::10	2253.59		0	0	0	1	0	0	0	0	0	0	1	1	1	59	3	170	57	
21622	Tue Nov 28 18:37:26 2017	4	33	338::11	2253.59		0	1	0	0	0	1	0	0	0	0	0	1	1	80	4	170	58	
21622	Tue Nov 28 18:37:44 2017	4	34	284::10	2253.59		0	0	0	0	0	0	0	1	0	0	1	1	1	101	3	170	59	
21622	Tue Nov 28 18:38:02 2017	4	35	287::10	2253.59		0	1	0	0	0	1	0	0	0	0	0	1	1	81	1	170	60	
21622	Tue Nov 28 18:38:21 2017	4	36	309::10	2253.59		1	0	0	0	0	0	1	0	0	0	1	1	0	99	1	170	61	
21622	Tue Nov 28 18:38:38 2017	4	37	328::10	2253.59		0	0	0	0	0	1	0	0	0	0	1	1	1	80	5	170	62	
21622	Tue Nov 28 18:38:58 2017	4	38	394::10	2253.59		0	0	0	0	0	0	0	0	1	0	1	1	1	109	2	170	63	
21622	Tue Nov 28 18:42:21 2017	5	1	316::10	2253.59		0	0	0	0	0	0	1	0	0	0	1	1	1	91	5	170	64	
21622	Tue Nov 28 18:42:38 2017	5	2	225::10	2253.59		0	1	0	0	0	0	1	0	0	0	0	1	1	79	4	170	65	
21622	Tue Nov 28 18:42:57 2017	5	3	539::10	2253.59		0	0	0	0	0	0	1	0	0	0	1	1	1	99	3	170	66	
