CLIENT;TRIALN;KEY;MEAN;MAXGENT;MAXV;AMPLITUDO;LATENCYMAX;LATNCY3XLR;LATNCY3XRL;LATNCY3XDIF;DATE
'14/06/2018 15:16:26';0001,000;'ACT:PROB';436415,342;0658,000;1307138,000;870722,658;-0550,000;9999,000;9999,000;9999,000;1806141517,000
'14/06/2018 15:16:26';0002,000;'ACT:PROB';111450,749;0622,000;1518573,000;1407122,251;-0550,000;0051,000;0050,000;0043,000;1806141517,000
'14/06/2018 15:16:26';0003,000;'ACT:PROB';177733,317;0622,000;1619568,000;1441834,683;-0550,000;0055,000;0054,000;0044,000;1806141517,000
'14/06/2018 15:16:26';0004,000;'ACT:PROB';265142,422;0611,000;2930525,000;2665382,578;-0550,000;0041,000;0040,000;0036,000;1806141517,000
'14/06/2018 15:16:26';0005,000;'ACT:PROB';351004,443;0612,000;1748948,000;1397943,557;-0550,000;0033,000;9999,000;9999,000;1806141517,000
'14/06/2018 15:16:26';0006,000;'ACT:PROB';153315,551;0670,000;1196304,000;1042988,449;-0550,000;9999,000;9999,000;0029,000;1806141517,000
'14/06/2018 15:16:26';0007,000;'ACT:PROB';223720,648;0628,000;2025759,000;1802038,352;-0550,000;0049,000;0048,000;0036,000;1806141517,000
'14/06/2018 15:16:26';0008,000;'ACT:PROB';132627,684;0639,000;564300,100;431672,416;-0550,000;0064,000;0063,000;0042,000;1806141517,000
'14/06/2018 15:16:26';0009,000;'ACT:PROB';122277,001;0659,000;788780,100;666503,099;-0550,000;0078,000;0077,000;0064,000;1806141517,000
'14/06/2018 15:16:26';0010,000;'ACT:PROB';870187,515;0688,000;956199,900;86012,385;-0550,000;9999,000;9999,000;9999,000;1806141517,000
'14/06/2018 15:16:26';0011,000;'ACT:PROB';488971,115;0604,000;2031141,000;1542169,885;-0550,000;0024,000;0077,000;9999,000;1806141517,000
'14/06/2018 15:16:26';0012,000;'ACT:PROB';123725,642;0647,000;1052050,000;928324,358;-0550,000;0079,000;0078,000;9999,000;1806141517,000
'14/06/2018 15:16:26';0013,000;'ACT:PROB';558316,285;0672,000;2391884,000;1833567,715;-0550,000;9999,000;9999,000;0042,000;1806141517,000
'14/06/2018 15:16:26';0014,000;'ACT:PROB';84911,715;0674,000;704196,100;619284,385;-0550,000;9999,000;9999,000;0048,000;1806141517,000
'14/06/2018 15:16:26';0015,000;'ACT:PROB';555845,277;0658,000;2082328,000;1526482,723;-0550,000;9999,000;9999,000;9999,000;1806141517,000
'14/06/2018 15:16:26';0016,000;'ACT:PROB';1618774,518;0595,000;2370747,000;751972,482;-0550,000;9999,000;9999,000;9999,000;1806141517,000
'14/06/2018 15:16:26';0017,000;'ACT:PROB';97810,378;0686,000;998508,600;900698,222;-0550,000;9999,000;9999,000;9999,000;1806141517,000
'14/06/2018 15:16:26';0018,000;'ACT:PROB';96578,798;0669,000;1164203,000;1067624,202;-0550,000;9999,000;9999,000;9999,000;1806141517,000
'14/06/2018 15:16:26';0019,000;'ACT:PROB';122044,889;0648,000;577200,100;455155,211;-0550,000;9999,000;9999,000;9999,000;1806141517,000
'14/06/2018 15:16:26';0020,000;'ACT:PROB';652233,060;0674,000;753290,400;101057,340;-0550,000;9999,000;9999,000;9999,000;1806141517,000
'14/06/2018 15:16:26';0021,000;'ACT:PROB';100963,254;0657,000;1093877,000;992913,746;-0550,000;9999,000;9999,000;9999,000;1806141517,000
'14/06/2018 15:16:26';0022,000;'ACT:PROB';513879,112;0705,000;971360,100;457480,988;-0550,000;9999,000;9999,000;0043,000;1806141517,000
'14/06/2018 15:16:26';0023,000;'ACT:PROB';1803895,351;0612,000;1082764,000;0000,000;-0550,000;9999,000;9999,000;9999,000;1806141517,000
'14/06/2018 15:16:26';0024,000;'ACT:PROB';187618,489;0676,000;1135782,000;948163,511;-0550,000;9999,000;9999,000;0023,000;1806141517,000
'14/06/2018 15:16:26';0025,000;'ACT:PROB';1043428,652;0707,000;594307,700;0000,000;-0550,000;9999,000;9999,000;9999,000;1806141517,000
'14/06/2018 15:16:26';0026,000;'ACT:PROB';129485,387;0684,000;1141739,000;1012253,613;-0550,000;9999,000;9999,000;0028,000;1806141517,000
