version	timestamp	block number	trial number	lost msec	free VRAM	trial contents	US	Startle_Circle	Startle_ITI	C1	C2	C3	C5	C4	C6	C7	C8	C9	C10	No_Startle	Generalization_Block	No_US	Size	US_expect	Resp_Rev	US_Intensity	Total_trial_nr	group	
21622	Mon Nov 13 16:30:20 2017	2	1	242::53	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	151	7		400	1	1	
21622	Mon Nov 13 16:30:38 2017	2	2	0::1	2249.14		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	999			400	2	1	
21622	Mon Nov 13 16:30:47 2017	2	3	296::11	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	161	7		400	3	1	
21622	Mon Nov 13 16:31:07 2017	2	4	0::1	2249.14		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	999			400	4	1	
21622	Mon Nov 13 16:31:17 2017	2	5	0::1	2249.14		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	999			400	5	1	
21622	Mon Nov 13 16:31:26 2017	2	6	0::1	2249.14		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	999			400	6	1	
21622	Mon Nov 13 16:31:34 2017	2	7	362::11	2249.14		0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	52	5		400	7	1	
21622	Mon Nov 13 16:31:53 2017	2	8	221::10	2249.14		0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	50	3		400	8	1	
21622	Mon Nov 13 16:32:13 2017	2	9	349::10	2249.14		0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	50	1		400	9	1	
21622	Mon Nov 13 16:32:31 2017	2	10	118::12	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	999	5		400	10	1	
21622	Mon Nov 13 16:33:19 2017	3	1	223::10	2249.14		0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	39	5		400	11	1	
21622	Mon Nov 13 16:33:38 2017	3	2	527::10	2249.14		1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	33	1		400	12	1	
21622	Mon Nov 13 16:33:56 2017	3	3	254::11	2249.14		0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	80	5		400	13	1	
21622	Mon Nov 13 16:34:16 2017	3	4	227::10	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	119	4		400	14	1	
21622	Mon Nov 13 16:34:34 2017	3	5	349::10	2249.14		1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	41	2		400	15	1	
21622	Mon Nov 13 16:34:52 2017	3	6	217::10	2249.14		1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	51	5		400	16	1	
21622	Mon Nov 13 16:35:10 2017	3	7	236::10	2249.14		0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	110	7		400	17	1	
21622	Mon Nov 13 16:35:29 2017	3	8	329::12	2249.14		1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	41	5		400	18	1	
21622	Mon Nov 13 16:35:49 2017	3	9	403::10	2249.14		0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	104	6		400	19	1	
21622	Mon Nov 13 16:36:07 2017	3	10	342::12	2249.14		1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	41	6		400	20	1	
21622	Mon Nov 13 16:36:25 2017	3	11	222::11	2249.14		1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	41	7		400	21	1	
21622	Mon Nov 13 16:36:43 2017	3	12	0::1	2249.14		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	999			400	22	1	
21622	Mon Nov 13 16:36:50 2017	3	13	237::10	2249.14		0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	120	8		400	23	1	
21622	Mon Nov 13 16:37:08 2017	3	14	332::10	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	99	8		400	24	1	
21622	Mon Nov 13 16:37:28 2017	3	15	253::11	2249.14		1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	40	6		400	25	1	
21622	Mon Nov 13 16:37:47 2017	3	16	324::10	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	120	9		400	26	1	
21622	Mon Nov 13 16:38:07 2017	3	17	395::10	2249.14		0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	100	8		400	27	1	
21622	Mon Nov 13 16:38:26 2017	3	18	273::12	2249.14		0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	41	7		400	28	1	
21622	Mon Nov 13 16:38:44 2017	3	19	280::10	2249.14		1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	50	6		400	29	1	
21622	Mon Nov 13 16:39:01 2017	3	20	268::6	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	119	999		400	30	1	
21622	Mon Nov 13 16:39:19 2017	3	21	297::11	2249.14		1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	39	6		400	31	1	
21622	Mon Nov 13 16:39:39 2017	3	22	475::10	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	113	7		400	32	1	
21622	Mon Nov 13 16:39:56 2017	3	23	381::10	2249.14		0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	110	7		400	33	1	
21622	Mon Nov 13 16:40:16 2017	3	24	339::11	2249.14		1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	49	5		400	34	1	
21622	Mon Nov 13 16:40:36 2017	3	25	446::10	2249.14		0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	110	6		400	35	1	
21622	Mon Nov 13 16:40:55 2017	4	1	413::11	2249.14		0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	60	5		400	36	1	
21622	Mon Nov 13 16:41:14 2017	4	2	399::10	2249.14		0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	110	4		400	37	1	
21622	Mon Nov 13 16:41:31 2017	4	3	381::11	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	110	2		400	38	1	
21622	Mon Nov 13 16:41:48 2017	4	4	318::10	2249.14		0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	49	2		400	39	1	
21622	Mon Nov 13 16:42:08 2017	4	5	368::11	2249.14		0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	60	1		400	40	1	
21622	Mon Nov 13 16:42:28 2017	4	6	290::11	2249.14		0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	40	1		400	41	1	
21622	Mon Nov 13 16:42:47 2017	4	7	272::10	2249.14		0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	99	1		400	42	1	
21622	Mon Nov 13 16:43:05 2017	4	8	354::10	2249.14		0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	1	100	1		400	43	1	
21622	Mon Nov 13 16:43:22 2017	4	9	265::10	2249.14		0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	120	1		400	44	1	
21622	Mon Nov 13 16:43:42 2017	4	10	269::10	2249.14		1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	41	1		400	45	1	
21622	Mon Nov 13 16:43:59 2017	4	11	249::10	2249.14		1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	41	5		400	46	1	
21622	Mon Nov 13 16:44:19 2017	4	12	414::10	2249.14		0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	110	6		400	47	1	
21622	Mon Nov 13 16:44:39 2017	4	13	326::11	2249.14		0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	59	6		400	48	1	
21622	Mon Nov 13 16:44:58 2017	4	14	324::11	2249.14		0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	81	5		400	49	1	
21622	Mon Nov 13 16:45:16 2017	4	15	287::10	2249.14		0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	1	49	5		400	50	1	
