version	timestamp	block number	trial number	lost msec	free VRAM	trial contents	US	Startle_Circle	Startle_ITI	C4	C5	C6	C7	C8	C9	C10	No_Startle	Generalization_Block	No_US	Size	US_expect	US_Intensity	Total_trial_nr	
21622	Mon Nov 27 10:35:47 2017	2	1	77::67	2253.59		0	0	1	0	0	0	0	0	0	0	0	0	1	999		140	1	
21622	Mon Nov 27 10:35:56 2017	2	2	243::10	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	80	5	140	2	
21622	Mon Nov 27 10:36:15 2017	2	3	304::10	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	80	5	140	3	
21622	Mon Nov 27 10:36:34 2017	2	4	0::1	2253.59		0	0	1	0	0	0	0	0	0	0	0	0	1	999		140	4	
21622	Mon Nov 27 10:36:41 2017	2	5	326::10	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	80	4	140	5	
21622	Mon Nov 27 10:36:59 2017	2	6	227::10	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	80	4	140	6	
21622	Mon Nov 27 10:37:18 2017	2	7	0::1	2253.59		0	0	1	0	0	0	0	0	0	0	0	0	1	999		140	7	
21622	Mon Nov 27 10:37:25 2017	2	8	0::1	2253.59		0	0	1	0	0	0	0	0	0	0	0	0	1	999		140	8	
21622	Mon Nov 27 10:37:33 2017	2	9	201::11	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	80	4	140	9	
21622	Mon Nov 27 10:37:53 2017	2	10	99::10	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	80	4	140	10	
21622	Mon Nov 27 10:38:39 2017	3	1	370::10	2253.59		1	1	0	0	0	0	1	0	0	0	0	0	0	80	5	140	11	
21622	Mon Nov 27 10:38:57 2017	3	2	249::10	2253.59		1	0	0	0	0	0	1	0	0	0	1	0	0	70	5	140	12	
21622	Mon Nov 27 10:39:16 2017	3	3	2::2	2253.59		0	0	1	0	0	0	0	0	0	0	0	0	1	999		140	13	
21622	Mon Nov 27 10:39:26 2017	3	4	189::11	2253.59		1	1	0	0	0	0	1	0	0	0	0	0	0	80	6	140	14	
21622	Mon Nov 27 10:39:43 2017	3	5	336::10	2253.59		0	0	0	0	0	0	1	0	0	0	1	0	1	80	7	140	15	
21622	Mon Nov 27 10:40:02 2017	3	6	96::10	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	999	5	140	16	
21622	Mon Nov 27 10:40:21 2017	3	7	333::10	2253.59		1	0	0	0	0	0	1	0	0	0	1	0	0	80	6	140	17	
21622	Mon Nov 27 10:40:38 2017	3	8	255::10	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	80	6	140	18	
21622	Mon Nov 27 10:40:58 2017	3	9	200::11	2253.59		0	0	0	0	0	0	1	0	0	0	1	0	1	80	6	140	19	
21622	Mon Nov 27 10:41:18 2017	3	10	234::10	2253.59		1	1	0	0	0	0	1	0	0	0	0	0	0	80	4	140	20	
21622	Mon Nov 27 10:41:36 2017	3	11	327::11	2253.59		1	0	0	0	0	0	1	0	0	0	1	0	0	80	5	140	21	
21622	Mon Nov 27 10:41:56 2017	3	12	236::10	2253.59		0	1	0	0	0	0	1	0	0	0	0	0	1	80	4	140	22	
21622	Mon Nov 27 10:42:15 2017	3	13	360::10	2253.59		0	0	0	0	0	0	1	0	0	0	1	0	1	80	6	140	23	
21622	Mon Nov 27 10:42:33 2017	3	14	222::11	2253.59		1	0	0	0	0	0	1	0	0	0	1	0	0	80	7	140	24	
21622	Mon Nov 27 10:42:52 2017	3	15	210::10	2253.59		0	0	0	0	0	0	1	0	0	0	1	0	1	80	3	140	25	
21622	Mon Nov 27 10:43:12 2017	4	1	255::10	2253.59		0	1	0	0	0	1	0	0	0	0	0	1	1	74	6	140	26	
21622	Mon Nov 27 10:43:31 2017	4	2	343::11	2253.59		1	0	0	0	0	0	1	0	0	0	1	1	0	80	7	140	27	
21622	Mon Nov 27 10:43:50 2017	4	3	437::10	2253.59		0	1	0	0	0	0	0	0	1	0	0	1	1	101	4	140	28	
21622	Mon Nov 27 10:44:08 2017	4	4	0::1	2253.59		0	0	1	0	0	0	0	0	0	0	0	1	1	999		140	29	
21622	Mon Nov 27 10:44:16 2017	4	5	326::12	2253.59		0	1	0	0	1	0	0	0	0	0	0	1	1	60	7	140	30	
21622	Mon Nov 27 10:44:33 2017	4	6	363::10	2253.59		0	0	0	0	0	0	0	0	1	0	1	1	1	130	6	140	31	
21622	Mon Nov 27 10:44:53 2017	4	7	455::12	2253.59		0	1	0	0	0	0	0	0	0	1	0	1	1	120	6	140	32	
21622	Mon Nov 27 10:45:13 2017	4	8	281::10	2253.59		0	0	0	0	0	0	1	0	0	0	1	1	1	80	8	140	33	
21622	Mon Nov 27 10:45:32 2017	4	9	502::10	2253.59		0	1	0	0	0	1	0	0	0	0	0	1	1	70	7	140	34	
21622	Mon Nov 27 10:45:50 2017	4	10	181::10	2253.59		1	0	0	0	0	0	1	0	0	0	1	1	0	90	8	140	35	
21622	Mon Nov 27 10:46:07 2017	4	11	207::10	2253.59		0	1	0	0	0	0	0	1	0	0	0	1	1	90	5	140	36	
21622	Mon Nov 27 10:46:27 2017	4	12	0::1	2253.59		0	0	1	0	0	0	0	0	0	0	0	1	1	999		140	37	
21622	Mon Nov 27 10:46:37 2017	4	13	363::10	2253.59		0	0	0	0	0	0	1	0	0	0	1	1	1	90	5	140	38	
21622	Mon Nov 27 10:46:54 2017	4	14	599::10	2253.59		0	1	0	1	0	0	0	0	0	0	0	1	1	50	7	140	39	
21622	Mon Nov 27 10:47:13 2017	4	15	379::10	2253.59		0	0	0	0	0	0	1	0	0	0	1	1	1	80	7	140	40	
21622	Mon Nov 27 10:47:31 2017	4	16	332::10	2253.59		0	1	0	0	0	0	0	0	0	1	0	1	1	111	4	140	41	
21622	Mon Nov 27 10:47:49 2017	4	17	254::10	2253.59		0	0	0	0	0	0	0	0	0	1	1	1	1	100	7	140	42	
21622	Mon Nov 27 10:48:07 2017	4	18	227::10	2253.59		1	1	0	0	0	0	1	0	0	0	0	1	0	80	5	140	43	
21622	Mon Nov 27 10:48:26 2017	4	19	429::11	2253.59		0	0	0	1	0	0	0	0	0	0	1	1	1	60	4	140	44	
21622	Mon Nov 27 10:48:44 2017	4	20	1017::10	2253.59		0	1	0	1	0	0	0	0	0	0	0	1	1	60	5	140	45	
21622	Mon Nov 27 10:49:04 2017	4	21	210::11	2253.59		0	0	0	0	0	0	1	0	0	0	1	1	1	100	7	140	46	
21622	Mon Nov 27 10:49:22 2017	4	22	332::10	2253.59		1	1	0	0	0	0	1	0	0	0	0	1	0	90	5	140	47	
21622	Mon Nov 27 10:49:41 2017	4	23	489::10	2253.59		0	0	0	1	0	0	0	0	0	0	1	1	1	60	6	140	48	
21622	Mon Nov 27 10:49:59 2017	4	24	380::10	2253.59		0	1	0	0	0	0	0	1	0	0	0	1	1	110	6	140	49	
21622	Mon Nov 27 10:50:18 2017	4	25	237::10	2253.59		0	0	0	0	0	0	0	1	0	0	1	1	1	101	6	140	50	
21622	Mon Nov 27 10:50:36 2017	4	26	486::12	2253.59		0	1	0	0	0	0	1	0	0	0	0	1	1	90	7	140	51	
21622	Mon Nov 27 10:50:56 2017	4	27	587::10	2253.59		0	0	0	0	0	1	0	0	0	0	1	1	1	80	7	140	52	
21622	Mon Nov 27 10:51:15 2017	4	28	354::10	2253.59		0	1	0	0	0	0	1	0	0	0	0	1	1	95	7	140	53	
