CLIENT;TRIALN;KEY;MEAN;MAXGENT;MAXV;AMPLITUDO;LATENCYMAX;LATNCY3XLR;LATNCY3XRL;LATNCY3XDIF;DATE
'11/01/2018 10:48:07';0001,000;'ACT:PROB';266479,420;0691,000;1885298,000;1618818,580;-0550,000;9999,000;9999,000;9999,000;1801111048,000
'11/01/2018 10:48:07';0002,000;'ACT:PROB';446035,966;0671,000;802585,400;356549,434;-0550,000;9999,000;9999,000;0031,000;1801111048,000
'11/01/2018 10:48:07';0003,000;'ACT:PROB';197105,657;0623,000;966786,200;769680,543;-0550,000;0060,000;0059,000;0046,000;1801111048,000
'11/01/2018 10:48:07';0004,000;'ACT:PROB';356624,159;0606,000;1392154,000;1035529,841;-0550,000;0048,000;9999,000;0033,000;1801111048,000
'11/01/2018 10:48:07';0005,000;'ACT:PROB';307848,103;0608,000;2049203,000;1741354,897;-0550,000;0042,000;0041,000;0030,000;1801111048,000
'11/01/2018 10:48:07';0006,000;'ACT:PROB';292259,121;0634,000;2283126,000;1990866,879;-0550,000;0069,000;0068,000;0059,000;1801111048,000
'11/01/2018 10:48:07';0007,000;'ACT:PROB';450765,466;0608,000;844243,800;393478,334;-0550,000;9999,000;9999,000;0026,000;1801111048,000
'11/01/2018 10:48:07';0008,000;'ACT:PROB';443000,490;0607,000;1112449,000;669448,510;-0550,000;9999,000;9999,000;0030,000;1801111048,000
'11/01/2018 10:48:07';0009,000;'ACT:PROB';283876,332;0604,000;654672,300;370795,968;-0550,000;9999,000;9999,000;9999,000;1801111048,000
'11/01/2018 10:48:07';0010,000;'ACT:PROB';177739,595;0681,000;1780242,000;1602502,405;-0550,000;9999,000;9999,000;0031,000;1801111048,000
'11/01/2018 10:48:07';0011,000;'ACT:PROB';329389,826;0656,000;1685777,000;1356387,174;-0550,000;9999,000;9999,000;0059,000;1801111048,000
'11/01/2018 10:48:07';0012,000;'ACT:PROB';314437,423;0659,000;1858071,000;1543633,577;-0550,000;9999,000;9999,000;0060,000;1801111048,000
'11/01/2018 10:48:07';0013,000;'ACT:PROB';282864,996;0651,000;1670648,000;1387783,004;-0550,000;0080,000;0079,000;9999,000;1801111048,000
'11/01/2018 10:48:07';0014,000;'ACT:PROB';540246,686;0600,000;715392,200;175145,514;-0550,000;9999,000;9999,000;0029,000;1801111048,000
'11/01/2018 10:48:07';0015,000;'ACT:PROB';212978,170;0654,000;971978,200;759000,030;-0550,000;9999,000;9999,000;9999,000;1801111048,000
'11/01/2018 10:48:07';0016,000;'ACT:PROB';384594,092;0634,000;1333371,000;948776,908;-0550,000;0077,000;0076,000;0056,000;1801111048,000
'11/01/2018 10:48:07';0017,000;'ACT:PROB';169781,048;0651,000;424482,700;254701,652;-0550,000;9999,000;9999,000;9999,000;1801111048,000
'11/01/2018 10:48:07';0018,000;'ACT:PROB';179028,806;0666,000;1707394,000;1528365,194;-0550,000;9999,000;9999,000;0066,000;1801111048,000
'11/01/2018 10:48:07';0019,000;'ACT:PROB';374415,948;0716,000;1614116,000;1239700,052;-0550,000;9999,000;9999,000;0039,000;1801111048,000
'11/01/2018 10:48:07';0020,000;'ACT:PROB';296258,577;0740,000;1181139,000;884880,423;-0550,000;9999,000;9999,000;9999,000;1801111048,000
'11/01/2018 10:48:07';0021,000;'ACT:PROB';488338,318;0671,000;1473714,000;985375,682;-0550,000;9999,000;9999,000;9999,000;1801111048,000
'11/01/2018 10:48:07';0022,000;'ACT:PROB';193779,657;0645,000;513320,300;319540,643;-0550,000;9999,000;9999,000;9999,000;1801111048,000
'11/01/2018 10:48:07';0023,000;'ACT:PROB';196746,961;0707,000;972430,800;775683,839;-0550,000;9999,000;9999,000;9999,000;1801111048,000
'11/01/2018 10:48:07';0024,000;'ACT:PROB';233854,050;0711,000;1593555,000;1359700,950;-0550,000;9999,000;9999,000;9999,000;1801111048,000
'11/01/2018 10:48:07';0025,000;'ACT:PROB';119768,624;0712,000;1294472,000;1174703,376;-0550,000;9999,000;9999,000;0067,000;1801111048,000
'11/01/2018 10:48:07';0026,000;'ACT:PROB';184951,772;0663,000;174271,800;0000,000;-0550,000;9999,000;9999,000;9999,000;1801111048,000
'11/01/2018 10:48:07';0027,000;'ACT:PROB';171513,083;0674,000;413674,600;242161,517;-0550,000;9999,000;9999,000;9999,000;1801111048,000
'11/01/2018 10:48:07';0028,000;'ACT:PROB';209261,902;0633,000;1099681,000;890419,098;-0550,000;0064,000;0063,000;0045,000;1801111048,000
'11/01/2018 10:48:07';0029,000;'ACT:PROB';194207,661;0715,000;883173,000;688965,339;-0550,000;9999,000;9999,000;0062,000;1801111048,000
'11/01/2018 10:48:07';0030,000;'ACT:PROB';157523,866;0729,000;1520155,000;1362631,134;-0550,000;9999,000;9999,000;0022,000;1801111048,000
'11/01/2018 10:48:07';0031,000;'ACT:PROB';269987,406;0707,000;925653,200;655665,794;-0550,000;9999,000;9999,000;9999,000;1801111048,000
'11/01/2018 10:48:07';0032,000;'ACT:PROB';221768,906;0675,000;1783843,000;1562074,094;-0550,000;9999,000;9999,000;0026,000;1801111048,000
'11/01/2018 10:48:07';0033,000;'ACT:PROB';129453,463;0647,000;720013,300;590559,837;-0550,000;9999,000;9999,000;9999,000;1801111048,000
'11/01/2018 10:48:07';0034,000;'ACT:PROB';661790,190;0670,000;1067992,000;406201,810;-0550,000;9999,000;9999,000;0048,000;1801111048,000
'11/01/2018 10:48:07';0035,000;'ACT:PROB';157470,723;0671,000;461755,600;304284,877;-0550,000;9999,000;9999,000;0025,000;1801111048,000
'11/01/2018 10:48:07';0036,000;'ACT:PROB';188739,799;0659,000;935991,500;747251,701;-0550,000;9999,000;9999,000;9999,000;1801111048,000
'11/01/2018 10:48:07';0037,000;'ACT:PROB';131819,888;0647,000;432376,500;300556,612;-0550,000;0075,000;0074,000;0050,000;1801111048,000
'11/01/2018 10:48:07';0038,000;'ACT:PROB';120852,783;0665,000;777367,700;656514,917;-0550,000;9999,000;9999,000;0066,000;1801111048,000
'11/01/2018 10:48:07';0039,000;'ACT:PROB';760399,509;0655,000;643690,600;0000,000;-0550,000;9999,000;9999,000;9999,000;1801111048,000
'11/01/2018 10:48:07';0040,000;'ACT:PROB';183517,942;0718,000;419665,100;236147,158;-0550,000;9999,000;9999,000;0044,000;1801111048,000
'11/01/2018 10:48:07';0041,000;'ACT:PROB';189717,455;0719,000;644862,100;455144,645;-0550,000;9999,000;9999,000;9999,000;1801111048,000
'11/01/2018 10:48:07';0042,000;'ACT:PROB';132019,757;0677,000;1055278,000;923258,243;-0550,000;9999,000;9999,000;0054,000;1801111048,000
'11/01/2018 10:48:07';0043,000;'ACT:PROB';406755,848;0647,000;822230,800;415474,952;-0550,000;9999,000;9999,000;9999,000;1801111048,000
'11/01/2018 10:48:07';0044,000;'ACT:PROB';207467,246;0715,000;1102167,000;894699,754;-0550,000;9999,000;9999,000;0035,000;1801111048,000
'11/01/2018 10:48:07';0045,000;'ACT:PROB';184895,657;0627,000;1244884,000;1059988,343;-0550,000;0063,000;0062,000;0052,000;1801111048,000
'11/01/2018 10:48:07';0046,000;'ACT:PROB';196356,497;0672,000;630823,500;434467,003;-0550,000;9999,000;9999,000;9999,000;1801111048,000
'11/01/2018 10:48:07';0047,000;'ACT:PROB';212532,511;0648,000;423267,700;210735,189;-0550,000;9999,000;9999,000;9999,000;1801111048,000
'11/01/2018 10:48:07';0048,000;'ACT:PROB';278432,468;0661,000;707455,100;429022,632;-0550,000;9999,000;9999,000;0039,000;1801111048,000
'11/01/2018 10:48:07';0049,000;'ACT:PROB';154259,442;0661,000;941580,800;787321,358;-0550,000;9999,000;9999,000;9999,000;1801111048,000
'11/01/2018 10:48:07';0050,000;'ACT:PROB';251948,714;0734,000;554456,600;302507,886;-0550,000;9999,000;9999,000;9999,000;1801111048,000
'11/01/2018 10:48:07';0051,000;'ACT:PROB';465883,342;0658,000;550759,600;84876,258;-0550,000;9999,000;9999,000;9999,000;1801111048,000
'11/01/2018 10:48:07';0052,000;'ACT:PROB';207483,051;0659,000;682565,400;475082,349;-0550,000;9999,000;9999,000;9999,000;1801111048,000
'11/01/2018 10:48:07';0053,000;'ACT:PROB';143186,336;0618,000;581865,100;438678,764;-0550,000;0059,000;0058,000;0044,000;1801111048,000
'11/01/2018 10:48:07';0054,000;'ACT:PROB';158432,121;0656,000;297582,300;139150,179;-0550,000;9999,000;9999,000;0059,000;1801111048,000
'11/01/2018 10:48:07';0055,000;'ACT:PROB';1362322,345;0656,000;644897,700;0000,000;-0550,000;9999,000;9999,000;9999,000;1801111048,000
'11/01/2018 10:48:07';0056,000;'ACT:PROB';187599,693;0649,000;617366,000;429766,307;-0550,000;9999,000;9999,000;9999,000;1801111048,000
'11/01/2018 10:48:07';0057,000;'ACT:PROB';193633,397;0673,000;1016543,000;822909,603;-0550,000;9999,000;9999,000;9999,000;1801111048,000
'11/01/2018 10:48:07';0058,000;'ACT:PROB';214855,112;0667,000;1017483,000;802627,888;-0550,000;9999,000;9999,000;9999,000;1801111048,000
'11/01/2018 10:48:07';0059,000;'ACT:PROB';117733,158;0683,000;258919,600;141186,442;-0550,000;9999,000;9999,000;0028,000;1801111048,000
'11/01/2018 10:48:07';0060,000;'ACT:PROB';128223,866;0635,000;933789,900;805566,034;-0550,000;0067,000;0066,000;0057,000;1801111048,000
'11/01/2018 10:48:07';0061,000;'ACT:PROB';119884,478;0708,000;876782,000;756897,522;-0550,000;9999,000;9999,000;9999,000;1801111048,000
'11/01/2018 10:48:07';0062,000;'ACT:PROB';123669,669;0705,000;1405405,000;1281735,331;-0550,000;9999,000;9999,000;0034,000;1801111048,000
'11/01/2018 10:48:07';0063,000;'ACT:PROB';207806,467;0651,000;910733,300;702926,833;-0550,000;0077,000;0076,000;0060,000;1801111048,000
'11/01/2018 10:48:07';0064,000;'ACT:PROB';386599,173;0635,000;1428928,000;1042328,827;-0550,000;0078,000;0077,000;0063,000;1801111048,000
